time_s,SWITCH_v_pu,CAP_v_pu,output_fixed_1_pu
0.00332,0.293677439915,0.293677439897,0.293677439897
0.00333,0.328626933694,0.328626933677,0.328626933677
0.00334,0.362155069778,0.362155069762,0.362155069762
0.00335,0.394132563992,0.394132563977,0.394132563977
0.00336,0.424436726538,0.424436726524,0.424436726524
0.00337,0.452951930686,0.452951930673,0.452951930673
0.00338,0.479570051817,0.479570051804,0.479570051804
0.00339,0.504190875142,0.50419087513,0.50419087513
0.0034,0.526722470584,0.526722470573,0.526722470573
0.00341,0.547081533418,0.547081533408,0.547081533408
0.00342,0.565193689429,0.565193689421,0.565193689421
0.00343,0.580993763475,0.580993763468,0.580993763468
0.00344,0.594426010501,0.594426010495,0.594426010495
0.00345,0.605444308199,0.605444308194,0.605444308194
0.00346,0.614012310679,0.614012310675,0.614012310675
0.00347,0.620103562632,0.62010356263,0.62010356263
0.00348,0.623701573693,0.623701573692,0.623701573692
0.00349,0.624799852795,0.624799852795,0.624799852795
0.0035,0.62340190253,0.623401902532,0.623401902532
0.00351,0.619521173658,0.61952117366,0.61952117366
0.00352,0.613180980055,0.613180980059,0.613180980059
0.00353,0.604414374599,0.604414374604,0.604414374604
0.00354,0.593263986575,0.593263986581,0.593263986581
0.00355,0.579781821393,0.5797818214,0.5797818214
0.00356,0.564029023529,0.564029023538,0.564029023538
0.00357,0.546075603753,0.546075603762,0.546075603762
0.00358,0.526000131837,0.526000131848,0.526000131848
0.00359,0.503889396095,0.503889396107,0.503889396107
0.0036,0.479838031197,0.479838031209,0.479838031209
0.00361,0.453948115858,0.453948115872,0.453948115872
0.00362,0.426328742097,0.426328742112,0.426328742112
0.00363,0.397095557869,0.397095557884,0.397095557884
0.00364,0.366370284985,0.366370285001,0.366370285001
0.00365,0.334280214327,0.334280214343,0.334280214343
0.00366,0.300957680421,0.300957680438,0.300957680438
0.00367,0.266539517562,0.266539517579,0.266539517579
0.00368,0.231166499687,0.231166499705,0.231166499705
0.00369,0.194982766307,0.194982766325,0.194982766325
0.0037,0.158135236813,0.158135236832,0.158135236832
0.00371,0.120773015552,0.120773015571,0.120773015571
0.00372,0.0830467900424,0.0830467900613,0.0830467900613
0.00373,0.0451082247917,0.0451082248107,0.0451082248107
0.00374,0.00710935311338,0.00710935313237,0.00710935313237
0.00375,-0.0307980306018,-0.0307980305829,-0.0307980305829
0.00376,-0.0684629757475,-0.0684629757287,-0.0684629757287
0.00377,-0.105735975088,-0.105735975069,-0.105735975069
0.00378,-0.142469556694,-0.142469556676,-0.142469556676
0.00379,-0.178518865896,-0.178518865878,-0.178518865878
0.0038,-0.21374223495,-0.213742234932,-0.213742234932
0.00381,-0.248001738203,-0.248001738186,-0.248001738186
0.00382,-0.28116373057,-0.281163730553,-0.281163730553
0.00383,-0.313099367237,-0.313099367221,-0.313099367221
0.00384,-0.343685102574,-0.343685102559,-0.343685102559
0.00385,-0.372803166328,-0.372803166314,-0.372803166314
0.00386,-0.400342015281,-0.400342015268,-0.400342015268
0.00387,-0.426196758626,-0.426196758614,-0.426196758614
0.00388,-0.450269555474,-0.450269555462,-0.450269555462
0.00389,-0.47246998297,-0.472469982959,-0.472469982959
0.0039,-0.492715373659,-0.492715373649,-0.492715373649
0.00391,-0.51093112084,-0.510931120831,-0.510931120831
0.00392,-0.527050950802,-0.527050950795,-0.527050950795
0.00393,-0.541017160956,-0.54101716095,-0.54101716095
