time_s,type_1_current_rms_A,type_2_current_rms_A,type_3_current_rms_A,type_4_current_rms_A,type_5_current_rms_A,type_6_current_rms_A,type_7_current_rms_A,type_8_current_rms_A,type_9_current_rms_A,type_10_current_rms_A,type_11_current_rms_A,type_12_current_rms_A
0.003,0.00897559557367,0.00732854309769,0.00885715658963,0.00808544076583,0.00723183807218,0,0,0,0,0,0,0
0.00301,0.00899702921038,0.00734604358878,0.00887719222255,0.00810373071266,0.00724819709795,0,0,0,0,0,0,0
0.00302,0.00901841190539,0.00736350248615,0.00889716613919,0.00812196432051,0.0072645057326,0,0,0,0,0,0,0
0.00303,0.00903974371852,0.00738091983864,0.00891707837084,0.00814014161792,0.00728076400166,0,0,0,0,0,0,0
0.00304,0.00906102470952,0.00739829569503,0.008936928949,0.00815826263364,0.00729697193085,0,0,0,0,0,0,0
0.00305,0.00908225493803,0.00741563010402,0.00895671790536,0.00817632739663,0.00731312954606,0,0,0,0,0,0,0
0.00306,0.0091034344636,0.00743292311423,0.00897644527188,0.00819433593603,0.00732923687338,0,0,0,0,0,0,0
0.00307,0.00912456334567,0.00745017477419,0.0089961110807,0.00821228828121,0.00734529393904,0,0,0,0,0,0,0
0.00308,0.00914564164359,0.00746738513238,0.0090157153642,0.0082301844617,0.00736130076949,0,0,0,0,0,0,0
0.00309,0.00916666941662,0.00748455423716,0.00903525815496,0.00824802450726,0.00737725739133,0,0,0,0,0,0,0
0.0031,0.00918764672389,0.00750168213683,0.0090547394858,0.00826580844784,0.00739316383135,0,0,0,0,0,0,0
0.00311,0.00920857362445,0.00751876887959,0.00907415938974,0.0082835363136,0.00740902011652,0,0,0,0,0,0,0
0.00312,0.00922945017722,0.00753581451354,0.00909351790003,0.00830120813487,0.00742482627398,0,0,0,0,0,0,0
0.00313,0.00925027644102,0.00755281908673,0.00911281505012,0.00831882394221,0.00744058233105,0,0,0,0,0,0,0
0.00314,0.00927105247455,0.00756978264707,0.00913205087371,0.00833638376636,0.00745628831524,0,0,0,0,0,0,0
0.00315,0.00929177833641,0.00758670524241,0.00915122540467,0.00835388763825,0.00747194425421,0,0,0,0,0,0,0
0.00316,0.00931245408506,0.0076035869205,0.00917033867713,0.00837133558904,0.00748755017582,0,0,0,0,0,0,0
0.00317,0.00933307977886,0.00762042772896,0.00918939072541,0.00838872765006,0.0075031061081,0,0,0,0,0,0,0
0.00318,0.00935365547604,0.00763722771536,0.00920838158405,0.00840606385283,0.00751861207925,0,0,0,0,0,0,0
0.00319,0.00937418123472,0.00765398692714,0.00922731128781,0.0084233442291,0.00753406811765,0,0,0,0,0,0,0
0.0032,0.00939465711287,0.00767070541165,0.00924617987167,0.00844056881077,0.00754947425186,0,0,0,0,0,0,0
