time_s,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_4,branch_current_branch_fixed_6,branch_current_branch_fixed_7,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,orthogonal_dummy_current_A,armature_current_A,separate_field_current_A
0.00136,0.184678057285,10,1,2.31147844043e-10,1.15573922022e-10,1.00023014761e-12,10,0.184678057285,1,2.31147844043e-10,2.54120321068e-10,1.97845589504e-05,-0.000230147613896,-0.000249932426966,0,0,0,0,-0.0975701720244,-0.0543164952264
0.00138,0.176616440518,10,1,2.35180731302e-10,1.17590365651e-10,1.0002341805e-12,10,0.176616440518,1,2.35180731302e-10,2.58554014184e-10,1.9737736185e-05,-0.000234180497121,-0.00025391849186,0,0,0,0,-0.0976835093856,-0.0551187398285
0.0014,0.169007249612,10,1,2.39204158152e-10,1.19602079076e-10,1.00023820392e-12,10,0.169007249612,1,2.39204158152e-10,2.62977306676e-10,1.96918469506e-05,-0.000238203919948,-0.000257896029876,0,0,0,0,-0.0977904861426,-0.0559209132096
0.00142,0.16182509398,10,1,2.4321831895e-10,1.21609159475e-10,1.00024221808e-12,10,0.16182509398,1,2.4321831895e-10,2.67390412214e-10,1.96469288662e-05,-0.000242218076732,-0.000261865272989,0,0,0,0,-0.0978914592589,-0.0567230153758
0.00144,0.155046007986,10,1,2.47223414997e-10,1.23611707498e-10,1.00024622317e-12,10,0.155046007986,1,2.47223414997e-10,2.71793552107e-10,1.96030123918e-05,-0.000246223168774,-0.000265826452959,0,0,0,0,-0.0979867656646,-0.0575250463335
0.00146,0.148647370962,10,1,2.5121965315e-10,1.25609826575e-10,1.0002502194e-12,10,0.148647370962,1,2.5121965315e-10,2.76186953771e-10,1.95601215114e-05,-0.000250219402931,-0.000269779800629,0,0,0,0,-0.0980767233811,-0.058327006089
0.00148,0.142607831741,10,1,2.55207244566e-10,1.27603622283e-10,1.00025420699e-12,10,0.142607831741,1,2.55207244566e-10,2.80570849347e-10,1.95182743633e-05,-0.000254206990359,-0.000273725545293,0,0,0,0,-0.098161632582,-0.0591288946487
0.0015,0.136907237398,10,1,2.59186403564e-10,1.29593201782e-10,1.00025818615e-12,10,0.136907237398,1,2.59186403564e-10,2.84945474455e-10,1.94774838193e-05,-0.000258186145378,-0.000277663914143,0,0,0,0,-0.0982417765952,-0.0599307120189
0.00152,0.131526566016,10,1,2.63157346609e-10,1.31578673304e-10,1.00026215708e-12,10,0.131526566016,1,2.63157346609e-10,2.89311067072e-10,1.94377580186e-05,-0.000262157084452,-0.000281595131781,0,0,0,0,-0.0983174228475,-0.0607324582058
0.00154,0.126447863202,10,1,2.67120291392e-10,1.33560145696e-10,1.00026612003e-12,10,0.126447863202,1,2.67120291392e-10,2.93667866526e-10,1.93991008572e-05,-0.000266120025272,-0.000285519419797,0,0,0,0,-0.0983888237578,-0.0615341332159
0.00156,0.121654182184,10,1,2.71075456014e-10,1.35537728007e-10,1.00027007519e-12,10,0.121654182184,1,2.71075456014e-10,2.98016112593e-10,1.93615124388e-05,-0.000270075185939,-0.000289436996394,0,0,0,0,-0.0984562175787,-0.0623357370554
0.00158,0.117129527257,10,1,2.75023058252e-10,1.37511529126e-10,1.00027402278e-12,10,0.117129527257,1,2.75023058252e-10,3.02356044692e-10,1.93249894876e-05,-0.000274022784229,-0.000293348076072,0,0,0,0,-0.0985198291922,-0.0631372697306
0.0016,0.112858800415,10,1,2.78963314906e-10,1.39481657453e-10,1.00027796304e-12,10,0.112858800415,1,2.78963314906e-10,3.06687901172e-10,1.92895257269e-05,-0.000277963036943,-0.000297252869358,0,0,0,0,-0.0985798708594,-0.063938731248
0.00162,0.108827750962,10,1,2.82896441228e-10,1.41448220614e-10,1.00028189616e-12,10,0.108827750962,1,2.82896441228e-10,3.11011918676e-10,1.92551122267e-05,-0.000281896159332,-0.00030115158257,0,0,0,0,-0.0986365429291,-0.0647401216136
0.00164,0.105022927968,10,1,2.86822650406e-10,1.43411325203e-10,1.00028582236e-12,10,0.105022927968,1,2.86822650406e-10,3.15328331581e-10,1.92217377207e-05,-0.000285822364584,-0.000305044417633,0,0,0,0,-0.0986900345066,-0.065541440834
0.00166,0.101431635382,10,1,2.90742153122e-10,1.45371076561e-10,1.00028974186e-12,10,0.101431635382,1,2.90742153122e-10,3.19637371506e-10,1.91893888971e-05,-0.00028974186338,-0.000308931571915,0,0,0,0,-0.0987405240842,-0.0663426889154
0.00168,0.0980418896672,10,1,2.94655157159e-10,1.4732757858e-10,1.00029365486e-12,10,0.0980418896672,1,2.94655157159e-10,3.23939266886e-10,1.91580506632e-05,-0.000293654863504,-0.000312813238107,0,0,0,0,-0.098788180137,-0.0671438658642
0.0017,0.094842379814,10,1,2.98561867062e-10,1.49280933531e-10,1.00029756157e-12,10,0.094842379814,1,2.98561867062e-10,3.28234242593e-10,1.91277063876e-05,-0.000297561569501,-0.000316689604122,0,0,0,0,-0.0988331616853,-0.0679449716866
