time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0.006,2227.60252193,-1912.27196925,-311.726523146,2957.98811121,-1915.87599878,-1045.71614196,0.0061275259085,0.00306376295425,0.0061275259095,-1912.27196925,2227.60252193,0.0061275259085,-391.640045546,0.00673650605596,439.664202788,9.99999562323e-07,-439.670938294,6.22342643003e-07,0.0188495577263,-391.640045546,-633.153410486,1024.79345603,-484.724349136,1085.79927547
0.0062,-2677.15968174,-2080.95991744,1967.28619059,2911.8977011,709.873491158,-830.937783664,0.00707293558308,0.00353646779154,0.00707293558408,-2080.95991744,-2677.15968174,0.00707293558308,-356.202550435,0.00777587465159,486.837278301,9.99999562323e-07,-486.845053175,6.43802699328e-07,0.0188495578529,-356.202550435,-675.295363486,1031.49791392,-444.279963034,1119.22071577
0.0064,2135.43382012,-2237.82343627,-298.024881891,2849.2613074,-1837.40893823,-611.437871123,0.00811696368376,0.00405848184188,0.00811696368476,-2237.82343627,2135.43382012,0.00811696368376,-318.43130088,0.00892366280097,536.310260361,1.00000042969e-06,-536.319183024,6.65262755654e-07,0.0188495579838,-318.43130088,-716.212948976,1034.64424986,-401.033535047,1149.50070979
0.0066,-2766.51107966,-2381.97119594,1973.65006043,2770.43484257,792.861019225,-388.463646629,0.00926414391067,0.00463207195534,0.00926414391167,-2381.97119594,-2766.51107966,0.00926414391067,-278.543530179,0.0101848547831,587.926362015,1.00000042969e-06,-587.936545869,6.86722811979e-07,0.018849558119,-278.543530179,-755.652186825,1034.195717,-355.233061272,1176.43711341
0.0068,2049.40964122,-2512.58412013,-299.053033778,2675.86621433,-1750.35660744,-163.282094204,0.010518663759,0.00525933187948,0.01051866376,-2512.58412013,2049.40964122,0.010518663759,-236.76847609,0.0115640542645,641.50308931,1.00000042969e-06,-641.514652364,7.08182868304e-07,0.0188495582585,-236.76847609,-793.367678108,1030.1361542,-307.141031365,1199.84703752
0.007,-2848.71704865,-2628.92004013,1965.21778468,2566.09278048,883.499263967,62.8272596509,0.011884312651,0.0059421563255,0.011884312652,-2628.92004013,-2848.71704865,0.011884312651,-193.346078447,0.0130654272768,696.832824894,9.99998694962e-07,-696.845889321,7.2964292463e-07,0.0188495584023,-193.346078447,-829.123998055,1022.4700765,-257.032937181,1219.56788517
0.0072,1971.49115844,-2730.31791206,-314.859304573,2441.73829557,-1656.63185387,288.579616484,0.0133644314963,0.00668221574814,0.0133644314973,-2730.31791206,1971.49115844,0.0133644314963,-148.525615956,0.0146926467637,753.683643465,9.99998694962e-07,-753.698335112,7.51102980955e-07,0.0188495585504,-148.525615956,-862.697032194,1011.22264815,-205.195707538,1235.45827325
0.0074,-2921.90314921,-2816.20157296,1942.10969037,2303.50936659,979.793458841,512.692206371,0.0149618641479,0.00748093207397,0.0149618641489,-2816.20157296,-2921.90314921,0.0149618641479,-102.564289924,0.0164488392128,811.800355175,1.00000042969e-06,-811.816803014,7.72563037281e-07,0.0188495587027,-102.564289924,-893.875248385,996.439538308,-151.926077982,1247.39883382
0.0076,1903.45542726,-2886.08301476,-345.155403279,2152.19143789,-1558.30002399,733.89157687,0.0166789112151,0.00833945560756,0.0166789112161,-2886.08301476,1903.45542726,0.0166789112151,-55.7257629758,0.0183365338777,870.905770654,9.99998694962e-07,-870.924106188,7.94023093606e-07,0.0188495588594,-55.7257629758,-922.460897223,978.186660198,-97.5289048407,1255.29289015
0.0078,-2984.39980687,-2939.56515715,1904.78038926,1988.64432812,1079.61941761,950.920829033,0.0185172866751,0.00925864333757,0.0185172866761,-2939.56515715,-2984.39980687,0.0185172866751,-8.27866104836,0.0203576150782,930.702180174,1.00000216441e-06,-930.72253679,8.15483149931e-07,0.0188495590203,-8.27866104836,-948.271134291,956.549795339,-42.315433119,1259.06700412
0.008,1846.85505492,-2976.34410394,-389.322985601,1813.79734459,-1457.53206932,1162.54675936,0.0204780777132,0.0102390388566,0.0204780777142,-2976.34410394,1846.85505492,0.0204780777132,39.5049528168,0.0225132780488,990.873037116,1.00000216441e-06,-990.895549394,8.36943206257e-07,0.0188495591856,39.5049528168,-971.139057571,931.634104754,13.3984719014,1258.67139126
0.0082,-3034.78020325,-2996.21086982,1854.00843963,1628.64400273,1180.77176362,1367.56686709,0.0225617081949,0.0112808540974,0.0225617081959,-2996.21086982,-3034.78020325,0.0225617081949,87.3511242151,0.0248039887806,1051.0848349,1.00000216441e-06,-1051.10963789,8.58403262582e-07,0.0188495593551,87.3511242151,-990.91465445,903.563530235,69.2941193185,1254.08020176
0.0084,1802.98296407,-2999.05256785,-446.427708135,1434.23638076,-1356.55525594,1564.81618709,0.0247679061533,0.0123839530766,0.0247679061543,-2999.05256785,1802.98296407,0.0247679061533,134.985563863,0.0272294482776,1110.98916435,1.00000216441e-06,-1111.0163928,8.79863318908e-07,0.0188495595289,134.985563863,-1007.46565259,872.480088727,125.051803325,1245.29166514
0.0086,-3071.89265747,-2984.85305094,1790.87865599,1231.67914159,1281.01400149,1753.17390936,0.027095675645,0.0135478378225,0.027095675646,-2984.85305094,-3071.89265747,0.027095675645,182.135205996,0.029788561615,1170.22493756,9.99998694962e-07,-1170.25472512,9.01323375233e-07,0.0188495597071,182.135205996,-1020.67827019,838.543064194,180.352619687,1232.32809844
0.0088,1772.84305033,-2953.69300359,-515.240454286,1022.12325583,-1257.60259605,1931.56974776,0.0295432732981,0.014771636649,0.0295432732991,-2953.69300359,1772.84305033,0.0295432732981,228.529759805,0.0324794121571,1228.42076242,9.99998694962e-07,-1228.45324083,9.22783431558e-07,0.0188495598895,228.529759805,-1030.45786101,801.928101207,234.880277678,1215.23577727
0.009,-3094.88676292,-2905.74948339,1716.7574681,806.759461845,1378.12929482,2098.99002154,0.0321081898427,0.0160540949214,0.0321081898437,-2905.74948339,-3094.88676292,0.0321081898427,273.903245116,0.0352992412519,1285.19745132,1.00000563386e-06,-1285.23274956,9.44243487884e-07,0.0188495600762,273.903245116,-1036.72945086,762.826205747,288.322897154,1194.08467101
0.0092,1757.12739965,-2841.29491498,-594.265250164,586.811499665,-1162.86214949,2254.48341532,0.0347871368804,0.0173935684402,0.0347871368814,-2841.29491498,1757.12739965,0.0347871368804,317.995503569,0.0382444336855,1340.17064559,1.00000563386e-06,-1340.20888902,9.65703544209e-07,0.0188495602672,317.995503569,-1039.43816213,721.442658563,340.374780578,1168.96804311
0.0094,-3103.23268611,-2760.6955421,1633.26188873,363.529157488,1469.97079738,2397.16638461,0.0375760391079,0.018788019554,0.0375760391089,-2760.6955421,-3103.23268611,0.0375760391079,360.553676726,0.0413105091336,1392.95353742,9.99991756068e-07,-1392.99484693,9.87163600534e-07,0.0188495604625,360.553676726,-1038.54952433,677.995847604,390.738149888,1140.00191936
0.0096,1756.20058292,-2664.40934644,-681.773237025,138.181170122,-1074.4273459,2526.22817632,0.0404700321751,0.0202350160876,0.0404700321761,-2664.40934644,1756.20058292,0.0404700321751,401.333642692,0.0444921198055,1443.15966843,9.99998694962e-07,-1443.20415955,1.00862365686e-06,0.018849560662,401.333642692,-1034.04966849,632.716025798,439.12483842,1107.3244265
0.0098,-3096.73319005,-2552.98344538,1542.22279437,-87.9519902175,1554.51039568,2640.9354356,0.0434634663117,0.0217317331559,0.0434634663127,-2552.98344538,-3096.73319005,0.0434634663117,440.101403104,0.0477830544324,1490.40578546,9.99991756068e-07,-1490.45356751,1.03008371319e-06,0.0188495608659,440.101403104,-1025.94540472,585.844001616,485.257928166,1071.09500559
0.01,1770.09138339,-2427.05098312,-775.841928769,-313.585389804,-994.249454625,2740.63637293,0.0465499158188,0.0232749579094,0.0465499158198,-2427.05098312,1770.09138339,0.0465499158188,476.634412586,0.0511762487015,1534.31473152,9.99998694962e-07,-1534.36590677,1.05154376951e-06,0.0188495610741,476.634412586,-1014.26418205,537.629769468,528.873323138,1031.49350396
