time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,branch_current_branch_fixed_1,branch_current_branch_fixed_7,branch_current_branch_fixed_9,branch_current_branch_fixed_10,torque_Nm,mechanical_speed_rad_s,mechanical_angle_rad,power_zero_axis_current_A,armature_axis_1_current_A,armature_axis_2_current_A,shorted_rotor_axis_current_1_A,shorted_rotor_axis_current_2_A
0.0386,-1208.71930714,-1208.71930714,-49.3002612123,-1208.71930714,-1927.64219133,-2745.72351786,184.725227845,92.3626139226,184.722652159,-1208.71930714,89.8326271055,-1829.47612069,184.725227845,-1208.71930714,-1208.71930714,184.725227845,-7.09215533016e-16,203.084023576,-1.22626796365,-2575.68568492,-2777.54344028,184.725648031,7.9158081774,0,-216.90051081,307.378994257,63.0606820423,-301.966765056
0.0388,-1412.1117965,-1412.1117965,-194.295232151,-1412.1117965,-1918.55477092,-2646.8736793,184.725225327,92.3626126636,184.722649642,-1412.1117965,-48.1549268963,-1831.16037603,184.725225327,-1412.1117965,-1412.1117965,184.725225327,-7.09214114587e-16,203.084020808,-1.24123227596,-2575.68568495,-2777.52847323,184.725648031,7.952753307,0,-193.127744679,322.842366385,62.6025078644,-302.060452657
0.039,-1607.48038494,-1607.48038494,-338.32371937,-1607.48038494,-1898.35920934,-2532.98377651,184.725222781,92.3626113906,184.722647096,-1607.48038494,-186.02290041,-1822.20829893,184.725222781,-1607.48038494,-1607.48038494,184.725222781,-2.98294717686e-15,203.084018009,-1.25390169024,-2575.68568497,-2777.51580097,184.725648031,7.98969843661,0,-168.257650995,336.471141827,62.144077932,-302.153733488
0.0392,-1793.71494917,-1793.71494917,-480.306187167,-1793.71494917,-1867.59208877,-2404.70095461,184.725220211,92.3626101054,184.722644525,-1793.71494917,-322.695426546,-1803.14320312,184.725220211,-1793.71494917,-1793.71494917,184.725220211,-5.25667569167e-15,203.084015183,-1.26501461864,-2575.68568495,-2777.50468519,184.725648031,8.02664356622,0,-142.43168603,348.187791498,61.6855221341,-302.246496697
0.0394,-1969.75726726,-1969.75726726,-619.668162521,-1969.75726726,-1825.98986665,-2262.75414221,184.72521762,92.3626088102,184.722641935,-1969.75726726,-457.656080395,-1773.58244869,184.72521762,-1969.75726726,-1969.75726726,184.72521762,-2.98293069763e-15,203.084012335,-1.27373182774,-2575.68568495,-2777.49596515,184.725648031,8.06358869582,0,-115.796449134,357.925816798,61.2267472861,-302.338856302
0.0396,-2134.60703163,-2134.60703163,-755.415368871,-2134.60703163,-1774.24188796,-2107.9499094,184.725215014,92.3626075068,184.722639328,-2134.60703163,-589.911307299,-1734.20131295,184.725215014,-2134.60703163,-2134.60703163,184.725215014,-5.25665921247e-15,203.08400947,-1.28083500266,-2575.68568495,-2777.48885911,184.725648031,8.10053382543,0,-88.5034371595,365.629816213,60.7678816157,-302.430697428
0.0398,-2287.32753303,-2287.32753303,-886.948067489,-2287.32753303,-1712.17670567,-1941.16788471,184.725212395,92.3626061975,184.722636709,-2287.32753303,-718.901803133,-1684.70221926,184.725212395,-2287.32753303,-2287.32753303,184.725212395,-7.09179737767e-16,203.084006591,-1.28548893332,-2575.68568495,-2777.4842023,184.725648031,8.13747895503,0,-60.7075766655,371.256071331,60.3088332091,-302.522133135
0.04,-2427.05098312,-2427.05098312,-1013.37884641,-2427.05098312,-1640.62293181,-1763.35575688,184.725209768,92.3626048842,184.722634083,-2427.05098312,-843.737799202,-1625.89949008,184.725209768,-2427.05098312,-2427.05098312,184.725209768,-5.25664728081e-15,203.084003703,-1.28851857781,-2575.68568495,-2777.48116979,184.725648031,8.17442408464,0,-32.5669673683,374.772565344,59.8497282515,-302.613044625
0.0402,-2552.98344538,-2552.98344538,-1134.09712785,-2552.98344538,-1559.50289648,-1575.52388988,184.725207138,92.3626035691,184.722631453,-2552.98344538,-963.830718847,-1557.58489119,184.725207138,-2552.98344538,-2552.98344538,184.725207138,-5.25663676752e-15,203.084000812,-1.28909265995,-2575.68568495,-2777.4805928,184.725648031,8.21136921425,0,-4.24134601751,376.159352597,59.3904757691,-302.703544077
0.0404,-2664.40934644,-2664.40934644,-1248.34184051,-2664.40934644,-1469.76793136,-1378.73958186,184.725204508,92.3626022542,184.722628823,-2664.40934644,-1078.4140291,-1480.6958382,184.725204508,-2664.40934644,-2664.40934644,184.725204508,3.83831166853e-15,203.08399792,-1.28807860613,-2575.68568492,-2777.48160397,184.725648031,8.24831434385,0,24.1081723503,375.408527468,58.9311995432,-302.793508916
