time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_1,branch_current_branch_fixed_8,branch_current_branch_fixed_10,branch_current_branch_fixed_11,torque_Nm,mechanical_speed_rad_s,synchronous_torque_angle_rad,power_zero_axis_current_A,armature_axis_1_current_A,armature_axis_2_current_A,field_current_A,q_axis_damper_current_A
0.0334,2999.05256785,2999.05256785,2708.98277787,2999.05256785,-35.7805962687,-75.39028633,37.1109305088,188.511710154,94.255855077,188.511917383,2999.05256785,2674.17452903,-31.0265085085,188.511710154,2999.05256785,2999.05256785,37.1109305088,188.511710154,-2.98284137258e-15,207.246822949,118.041108847,207.22906649,-118.058865007,188.495559215,4.61852778244e-14,0,-10.4965935754,-77.0794053943,-223.020625967,-7.69728119832
0.0336,2984.85305094,2984.85305094,2699.28522803,2984.85305094,-240.001916647,-301.085144554,36.93522259,188.511950783,94.2559753913,188.512158012,2984.85305094,2665.01728432,-232.67101643,188.511950783,2984.85305094,2984.85305094,36.93522259,188.511950783,1.5646335545e-15,207.247087492,117.774920195,207.229066461,-117.792940874,188.495559215,4.4408920985e-14,0,-16.2529429548,-76.0723230629,-223.120857331,-7.67130142801
0.0338,2953.69300359,2953.69300359,2674.15954178,2953.69300359,-443.117632676,-525.069176926,36.5496413686,188.512190664,94.2560953318,188.512397893,2953.69300359,2640.61578921,-433.282551664,188.512190664,2953.69300359,2953.69300359,36.5496413686,188.512190664,6.11209938663e-15,207.247351213,117.308521122,207.22906649,-117.326805523,188.495559215,4.61852778244e-14,0,-21.9039176452,-74.6418246272,-223.215506019,-7.6318143881
0.034,2905.74948339,2905.74948339,2633.6952497,2905.74948339,-643.952779394,-746.069661495,35.9563777941,188.512429391,94.2562146956,188.51263662,2905.74948339,2601.04907069,-631.69787993,188.512429391,2905.74948339,2905.74948339,35.9563777941,188.512429391,6.11208716244e-15,207.247613667,116.644412279,207.22906649,-116.662959118,188.495559215,4.61852778244e-14,0,-27.4197452765,-72.8009929209,-223.300891456,-7.57906045478
0.0342,2841.29491498,2841.29491498,2578.07319845,2841.29491498,-841.33645127,-962.830829422,35.1588029084,188.512666565,94.2563332827,188.512873794,2841.29491498,2546.48698573,-826.756279115,188.512666565,2841.29491498,2841.29491498,35.1588029084,188.512666565,6.11207493828e-15,207.247874412,115.786258817,207.229066461,-115.805066359,188.495559215,4.79616346638e-14,0,-32.7724445866,-70.5647369526,-223.373400102,-7.51335609417
0.0344,2760.6955421,2760.6955421,2507.56590767,2760.6955421,-1034.10922968,-1174.12100051,34.1614486912,188.512901795,94.2564508975,188.513109024,2760.6955421,2477.19080677,-1017.30700179,188.512901795,2760.6955421,2760.6955421,34.1614486912,188.512901795,1.06595316755e-14,207.24813302,114.738887221,207.229066461,-114.757953443,188.495559215,4.79616346638e-14,0,-37.9358873879,-67.9495369486,-223.429505798,-7.43509254616
0.0346,2664.40934644,2664.40934644,2422.53724672,2664.40934644,-1221.13072973,-1378.73958186,32.969982308,188.5131347,94.2565673502,188.513341929,2664.40934644,2393.51310939,-1202.2168878,188.5131347,2664.40934644,2664.40934644,32.969982308,188.5131347,6.1120413951e-15,207.248389072,113.508274734,207.22906649,-113.527597004,188.495559215,4.97379915032e-14,0,-42.8858239076,-64.9731977962,-223.465789583,-7.34473406249
0.0348,2552.98344538,2552.98344538,2323.44145309,2552.98344538,-1401.28723994,-1575.52388988,31.5911739085,188.513364914,94.2566824572,188.513572143,2552.98344538,2295.89698522,-1380.37810209,188.513364914,2552.98344538,2552.98344538,31.5911739085,188.513364914,-2.98290875176e-15,207.248642166,112.101529568,207.22906649,-112.121104943,188.495559215,4.79616346638e-14,0,-47.5998743419,-61.6546161476,-223.478958865,-7.2428157142
0.035,2427.05098312,2427.05098312,2210.82142574,2427.05098312,-1573.49934214,-1763.35575688,30.0328581571,188.513592086,94.2567960431,188.513799315,2427.05098312,2184.87450355,-1550.71587621,188.513592086,2427.05098312,2427.05098312,30.0328581571,188.513592086,6.11203513684e-15,207.248891915,110.526863784,207.22906649,-110.546688884,188.495559215,4.97379915032e-14,0,-52.0574901813,-58.0135658326,-223.465865847,-7.12994077136
0.0352,2287.32753303,2287.32753303,2085.30632539,2287.32753303,-1736.72948324,-1941.16788471,28.3038897148,188.513815883,94.2569079413,188.514023112,2287.32753303,2061.06445535,-1712.19622621,188.513815883,2287.32753303,2287.32753303,28.3038897148,188.513815883,1.56455395139e-15,207.249137954,108.793557197,207.22906649,-108.813628312,188.495559215,4.97379915032e-14,0,-56.2398895342,-54.0705055864,-223.423525099,-7.00677767504
0.0354,2134.60703163,2134.60703163,1947.60843839,2134.60703163,-1889.98937411,-2107.9499094,26.414092925,188.51403599,94.2570179951,188.514243219,2134.60703163,1925.16932876,-1863.83351172,188.51403599,2134.60703163,2134.60703163,26.414092925,188.51403599,6.11201978368e-15,207.249379936,106.911913186,207.22906649,-106.932226321,188.495559215,5.15143483426e-14,0,-60.1299711732,-49.8464123019,-223.349130185,-6.87405660983
