time_s,LOAD_v_pu,SOURCE_v_pu,output_fixed_1_pu,SOURCE.LOAD_pu,LOAD.SOURCE_pu,VTHY1_pu,VTHY2_pu,ALPHA_pu,LAMDAR_pu,LAMDA1_pu,LAMDA2_pu,GRID1_pu,GRID2_pu
0.00845,-149.854940127,-149.854940202,-149.854940202,-0,75.0833351049,0,0,90,0.4,0,0,0,0
0.0085,-149.704009189,-149.704009264,-149.704009264,-0,74.7235162635,0,0,90,0.4,0,0,0,0
0.00855,-149.49988913,-149.499889205,-149.499889205,-0,74.5824308979,0,0,90,0.4,0,0,0,0
0.0086,-149.242652472,-149.242652547,-149.242652547,-0,74.7337196572,0,0,90,0.4,0,0,0,0
0.00865,-148.932390611,-148.932390685,-148.932390685,-0,74.6430259824,0,0,90,0.4,0,0,0,0
0.0087,-148.56921378,-148.569213854,-148.569213854,-0,74.1880512578,0,0,90,0.4,0,0,0,0
0.00875,-148.153251015,-148.153251089,-148.153251089,-0,73.890674912,0,0,90,0.4,0,0,0,0
0.0088,-147.684650105,-147.684650179,-147.684650179,-0,73.9207735023,0,0,90,0.4,0,0,0,0
0.00885,-147.163577543,-147.163577616,-147.163577616,-0,73.7734922041,0,0,90,0.4,0,0,0,0
0.0089,-146.590218462,-146.590218535,-146.590218535,-0,73.233366038,0,0,90,0.4,0,0,0,0
0.00895,-145.964776574,-145.964776647,-145.964776647,-0,72.7844167159,0,0,90,0.4,0,0,0,0
0.009,-145.287474097,-145.287474169,-145.287474169,-0,72.6859639144,0,0,90,0.4,0,0,0,0
0.00905,-144.558551671,-144.558551743,-144.558551743,-0,72.4792244,0,0,90,0.4,0,0,0,0
0.0091,-143.778268281,-143.778268353,-143.778268353,-0,71.8638943908,0,0,90,0.4,0,0,0,0
0.00915,-142.946901156,-142.946901228,-142.946901228,-0,71.2701933026,0,0,90,0.4,0,0,0,0
0.0092,-142.064745678,-142.064745749,-142.064745749,-0,71.0373058155,0,0,90,0.4,0,0,0,0
0.00925,-141.132115272,-141.132115343,-141.132115343,-0,70.7675269496,0,0,90,0.4,0,0,0,0
0.0093,-140.149341298,-140.149341368,-140.149341368,-0,70.0863438396,0,0,90,0.4,0,0,0,0
0.00935,-139.116772931,-139.116773,-139.116773,-0,69.3566448717,0,0,90,0.4,0,0,0,0
0.0094,-138.034777036,-138.034777105,-138.034777105,-0,68.9852868163,0,0,90,0.4,0,0,0,0
0.00945,-136.903738042,-136.90373811,-136.90373811,-0,68.6480348122,0,0,90,0.4,0,0,0,0
0.0095,-135.724057802,-135.72405787,-135.72405787,-0,67.9097809098,0,0,90,0.4,0,0,0,0
0.00955,-134.496155451,-134.496155518,-134.496155518,-0,67.0544864079,0,0,90,0.4,0,0,0,0
0.0096,-133.220467255,-133.220467322,-133.220467322,-0,66.5425261559,0,0,90,0.4,0,0,0,0
0.00965,-131.897446462,-131.897446529,-131.897446529,-0,66.1331114316,0,0,90,0.4,0,0,0,0
0.0097,-130.527563135,-130.5275632,-130.5275632,-0,65.3456311284,0,0,90,0.4,0,0,0,0
0.00975,-129.111303986,-129.111304051,-129.111304051,-0,64.3765929453,0,0,90,0.4,0,0,0,0
0.0098,-127.649172205,-127.649172269,-127.649172269,-0,63.7238315448,0,0,90,0.4,0,0,0,0
0.00985,-126.141687281,-126.141687345,-126.141687345,-0,63.2373797771,0,0,90,0.4,0,0,0,0
0.0099,-124.589384817,-124.589384879,-124.589384879,-0,62.4075084943,0,0,90,0.4,0,0,0,0
0.00995,-122.992816337,-122.992816399,-122.992816399,-0,61.3376300862,0,0,90,0.4,0,0,0,0
0.01,-121.352549096,-121.352549156,-121.352549156,-0,60.5461565328,0,0,90,0.4,0,0,0,0
0.01005,-119.669165871,-119.669165931,-119.669165931,-0,59.9778644528,0,0,90,0.4,0,0,0,0
0.0101,-117.943264761,-117.94326482,-117.94326482,-0,59.1112581105,0,0,90,0.4,0,0,0,0
0.01015,-116.175458972,-116.17545903,-116.17545903,-0,57.954267163,0,0,90,0.4,0,0,0,0
0.0102,-114.366376595,-114.366376652,-114.366376652,-0,57.0283162915,0,0,90,0.4,0,0,0,0
0.01025,-112.516660388,-112.516660445,-112.516660445,-0,56.3737785342,0,0,90,0.4,0,0,0,0
0.0103,-110.626967548,-110.626967604,-110.626967604,-0,55.4749419734,0,0,90,0.4,0,0,0,0
0.01035,-108.697969474,-108.697969528,-108.697969528,-0,54.244978287,0,0,90,0.4,0,0,0,0
0.0104,-106.730351528,-106.730351581,-106.730351581,-0,53.1909307711,0,0,90,0.4,0,0,0,0
0.01045,-104.724812797,-104.724812849,-104.724812849,-0,52.4464240925,0,0,90,0.4,0,0,0,0
0.0105,-102.682065838,-102.682065889,-102.682065889,-0,51.5186542316,0,0,90,0.4,0,0,0,0
0.01055,-100.60283643,-100.60283648,-100.60283648,-0,50.2299570826,0,0,90,0.4,0,0,0,0
0.0106,-98.4878633138,-98.4878633629,-98.4878633629,-0,49.0562683808,0,0,90,0.4,0,0,0,0
0.01065,-96.3378979282,-96.3378979764,-96.3378979764,-0,48.2189932427,0,0,90,0.4,0,0,0,0
0.0107,-94.1537041463,-94.1537041936,-94.1537041936,-0,47.2644785532,0,0,90,0.4,0,0,0,0
0.01075,-91.936058002,-91.9360580479,-91.9360580479,-0,45.9310882661,0,0,90,0.4,0,0,0,0
0.0108,-89.6857474139,-89.6857474586,-89.6857474586,-0,44.6481038807,0,0,90,0.4,0,0,0,0
0.01085,-87.4035719065,-87.4035719502,-87.4035719502,-0,43.7164828782,0,0,90,0.4,0,0,0,0
0.0109,-85.0903423262,-85.090342369,-85.090342369,-0,42.7363886502,0,0,90,0.4,0,0,0,0
0.01095,-82.7468805529,-82.7468805942,-82.7468805942,-0,41.3718339587,0,0,90,0.4,0,0,0,0
0.011,-80.3740192068,-80.3740192468,-80.3740192468,-0,39.9916757488,0,0,90,0.4,0,0,0,0
0.01105,-77.9726013541,-77.9726013931,-77.9726013931,-0,38.9654815081,0,0,90,0.4,0,0,0,0
0.0111,-75.5434802074,-75.5434802453,-75.5434802453,-0,37.9600493261,0,0,90,0.4,0,0,0,0
