time_s,input_voltage_v,input_current_a,switch_node_voltage_v,output_voltage_v,inductor_current_a,load_current_a,requested_gate_state,applied_gate_state,controlled_valve_conducting_state,freewheel_diode_conducting_state,stored_energy_j,semiconductor_loss_w,kcl_residual_a,energy_residual_w,controlled_junction_temperature_k,freewheel_junction_temperature_k,freewheel_recovered_charge_c,controlled_turn_off_tail_current_a
0.000193,120,8.74261247531,118.213944471,69.7173489956,6.86885627811,8.71466862445,1,1,1,0,0.399940999885,9.63685718767,1.38200562105e-12,2.14292559392e-10,298.17987787,298.156716589,0,0
0.00019325,120,5.00986510768,118.528551144,69.7142796046,6.87682806019,8.71428495057,1,1,1,0,0.399991165886,5.38757106006,7.17204073908e-14,-2.8449465006e-10,298.179881084,298.156716583,0,0
0.0001935,120,8.74755449812,118.213530049,69.7112241381,6.88480015869,8.71390301727,1,1,1,0,0.40004141504,9.63974618569,1.74438241629e-12,1.05709711817e-12,298.179886957,298.156716578,0,0
0.00019375,120,5.03676082296,118.52628597,69.7081825937,6.89277241708,8.71352282422,1,1,1,0,0.400092070419,5.4150973787,7.74491581979e-13,5.03476383848e-10,298.17989019,298.156716572,0,0
0.000194,120,8.75256217387,118.213110091,69.7051549689,6.90074498678,8.71314437111,1,1,1,0,0.400142809774,9.64280958047,6.64357457936e-13,3.24176449573e-10,298.179896066,298.156716566,0,0
0.00019425,120,5.06359336032,118.524026122,69.7021412611,6.90871771215,8.71276765764,1,1,1,0,0.400193954273,5.44265475698,1.83741910575e-12,3.15177571542e-10,298.179899317,298.15671656,0,0
0.0001945,120,8.75763510114,118.212684631,69.6991414679,6.91669074373,8.71239268349,1,1,1,0,0.400245183564,9.6460426531,1.45519152284e-11,1.01047642476e-10,298.179905196,298.156716554,0,0
0.00019475,120,5.090363074,118.521771569,69.6961555867,6.92466392678,8.71201944834,1,1,1,0,0.400296816923,5.47023937709,6.56363852158e-13,3.18132022462e-10,298.179908466,298.156716549,0,0
0.000195,120,8.76277288085,118.212253704,69.693183615,6.93263741094,8.71164795187,1,1,1,0,0.400348535887,9.64944087268,9.79216707719e-14,4.50919683537e-10,298.179914349,298.156716543,0,0
0.00019525,120,5.11707031619,118.519522283,69.6902255502,6.94061104236,8.71127819378,1,1,1,0,0.400400657849,5.49784760057,1.45519152284e-11,2.70237391492e-11,298.179917637,298.156716537,0,0
0.0001955,120,8.76797511619,118.211817342,69.6872813899,6.94858496979,8.71091017374,1,1,1,0,0.400452866222,9.65299988817,1.45519152284e-11,-3.39734750748e-10,298.179923523,298.156716531,0,0
0.00019575,120,5.14371543693,118.517278232,69.6843511316,6.95655904027,8.71054389144,1,1,1,0,0.40050547653,5.52547596049,3.20188320302e-13,-9.68463590573e-11,298.179926829,298.156716525,0,0
0.000196,120,8.77324141268,118.211375579,69.6814347726,6.96453340167,8.71017934657,1,1,1,0,0.400558174048,9.65671552071,3.08530978543e-12,3.72315026032e-10,298.179932718,298.156716519,0,0
0.00019625,120,5.1702987842,118.515039389,69.6785323104,6.97250790191,8.7098165388,1,1,1,0,0.400611272444,5.55312115384,3.93463039927e-13,-3.12765221708e-10,298.179936043,298.156716514,0,0
0.0001965,120,8.7785713781,118.210928448,69.6756437426,6.98048268799,8.70945546782,1,1,1,0,0.400664458846,9.66058375624,1.27009514017e-12,-3.35967148199e-10,298.179941936,298.156716508,0,0
0.00019675,120,5.19682070391,118.512805724,69.6727690665,6.9884576087,8.70909613331,1,1,1,0,0.400718045072,5.5807800344,2.46580533769e-12,-2.59801945582e-10,298.179945279,298.156716502,0,0
