time_s,bus_v_pu,source_node_v_pu,source_v_pu,load_conductance_pu,inverter_p_pu,inverter_q_pu,id_pu,iq_pu,id_ref_pu,iq_ref_pu,p_ref_pu,q_ref_pu
0.110120000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110140000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110160000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110180000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110200000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110220000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110240000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110260000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110280000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110300000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110320000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110340000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110360000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110380000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110400000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110420000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110440000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110460000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110480000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110500000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110520000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110540000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110560000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110580000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110600000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110620000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110640000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110660000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110680000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110700000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110720000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110740000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110760000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000006,0.050000000,0.800000006,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110780000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110800000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110820000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110840000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110860000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110880000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
0.110900000,1.044713098,1.049885067,1.050000000,0.843000000,0.800000005,0.050000000,0.800000005,-0.050000000,0.800000000,-0.050000000,0.800000000,0.050000000
