time_s,receiving_voltage_phase_1_v,sending_current_phase_1_a,receiving_current_phase_1_a,receiving_voltage_phase_2_v,sending_current_phase_2_a,receiving_current_phase_2_a,receiving_voltage_phase_3_v,sending_current_phase_3_a,receiving_current_phase_3_a
0.00092,83.8928829337,8405.90657916,2336.73532278,-64438.1447606,-1291.56172624,-8390.96615102,-116836.766139,-2340.31012917,1288.76289521
0.00093,87.3375110661,8708.71278839,2363.67439558,-65194.0319091,-1290.29089898,-8735.49785683,-118183.719779,-2353.65339971,1303.88063818
0.00094,89.9704358035,9026.69490715,2353.730611,-63992.0435939,-1296.09394868,-8998.84298906,-117686.53055,-2371.45058314,1279.84087188
0.00095,93.4174274651,9325.92209863,2388.40778467,-65071.1985072,-1288.94942858,-9343.61109505,-119420.389234,-2378.15557426,1301.42397014
0.00096,96.2515982239,9632.13068748,2385.96779948,-64327.814324,-1290.38878206,-9627.08485435,-119298.389974,-2392.58056587,1286.55628648
0.00097,99.2596331379,9935.11020182,2397.56546577,-64212.4385639,-1287.44279446,-9927.94850645,-119878.273288,-2402.14562042,1284.24877128
0.00098,102.416047331,10230.2995444,2415.2065812,-64490.0303489,-1281.39814053,-10243.6530541,-120760.32906,-2409.72777093,1289.80060698
0.00099,105.165890723,10532.8604366,2411.66846875,-63650.2642996,-1280.73597218,-10518.6923901,-120583.423437,-2421.19961396,1273.00528599
0.001,108.316835049,10824.290699,2430.5460309,-63952.072851,-1273.28985975,-10833.8498416,-121527.301545,-2427.0022818,1279.04145702
0.00101,111.152311207,11120.4426762,2432.66664332,-63443.180687,-1269.47435014,-11117.4541669,-121633.332166,-2435.76217681,1268.86361374
0.00102,114.071179315,11412.8377991,2439.57896558,-63127.0673315,-1264.24454717,-11409.3993551,-121978.948279,-2443.05052459,1262.54134663
0.00103,117.064678552,11701.563646,2450.88717464,-63084.7497298,-1257.19866666,-11708.8091488,-122544.358732,-2448.96498894,1261.6949946
0.00104,119.83414878,11993.5824218,2451.35356935,-62467.4703053,-1252.46312222,-11985.811561,-122567.678467,-2456.4422241,1249.34940611
0.00105,122.818679708,12278.840385,2462.50356846,-62396.263308,-1245.00331403,-12284.3243444,-123125.178423,-2461.77965635,1247.92526616
0.00106,125.623832574,12566.4631166,2465.79803002,-61947.4038195,-1238.78099261,-12564.895734,-123289.901501,-2467.98339953,1238.94807639
0.00107,128.471236142,12851.6596982,2471.29135077,-61584.1080339,-1232.03401995,-12849.6930389,-123564.567539,-2473.59005232,1231.68216068
