time_s,receiving_voltage_phase_1_minimum_v,receiving_voltage_phase_1_maximum_v,sending_current_phase_1_minimum_a,sending_current_phase_1_maximum_a,receiving_current_phase_1_minimum_a,receiving_current_phase_1_maximum_a,receiving_voltage_phase_2_minimum_v,receiving_voltage_phase_2_maximum_v,sending_current_phase_2_minimum_a,sending_current_phase_2_maximum_a,receiving_current_phase_2_minimum_a,receiving_current_phase_2_maximum_a,receiving_voltage_phase_3_minimum_v,receiving_voltage_phase_3_maximum_v,sending_current_phase_3_minimum_a,sending_current_phase_3_maximum_a,receiving_current_phase_3_minimum_a,receiving_current_phase_3_maximum_a,terminal_power_minimum_w,terminal_power_maximum_w,cumulative_supplied_energy_minimum_j,cumulative_supplied_energy_maximum_j,maximum_kcl_residual_a
0.00042,98551.8328856,98551.8329428,1971.47469994,1971.47608011,1239.25522492,1239.25524311,-36678.3186279,-36678.3174805,-732.784129605,-732.783595862,-1971.03665886,-1971.03665771,-61962.7621557,-61962.7612462,-1240.48827595,-1240.48738601,733.566349609,733.566372557,1099931.85638,1100139.5916,465.041589772,465.128949338,2.72848410532e-12
0.00043,98496.1713826,98496.1714695,1970.35629331,1970.35767209,1245.14129044,1245.14130939,-36328.3216828,-36328.3204994,-725.779790906,-725.779261355,-1969.92342939,-1969.92342765,-62257.0654696,-62257.064522,-1246.37334497,-1246.37245015,726.566409988,726.566433655,1099445.50255,1099653.22577,476.038476566,476.127913425,2.72848410532e-12
0.00044,98439.1100311,98439.1101477,1969.20988355,1969.21126093,1251.00965974,1251.00967946,-35977.8084318,-35977.8072125,-718.765137271,-718.764611919,-1968.78220295,-1968.78220062,-62550.4839728,-62550.4829872,-1252.24070026,-1252.23980057,719.55614425,719.556168636,1098949.87553,1099157.5868,487.030453457,487.121967488,2.72848410532e-12
0.00045,98380.6496419,98380.6497882,1968.03548697,1968.03686291,1256.86024943,1256.8602699,-35626.7838565,-35626.7826013,-711.740268392,-711.739747246,-1967.61299576,-1967.61299284,-62843.0134951,-62843.0124715,-1258.09025844,-1258.0893539,712.535652027,712.535677131,1098445.0035,1098652.70287,498.017427852,498.111018936,2.72848410532e-12
0.00046,98320.7910459,98320.7912218,1966.83312024,1966.83449474,1262.69297635,1262.69299758,-35275.2529458,-35275.2516547,-704.705284108,-704.704767177,-1966.41582444,-1966.41582092,-63134.6498792,-63134.6488175,-1263.92193637,-1263.92102699,705.505033095,705.505058916,1097930.91517,1098138.60268,508.999307445,509.094975464,2.72848410532e-12
0.00047,98259.5350938,98259.5352994,1965.60280046,1965.6041735,1268.50775761,1268.5077796,-34923.2206957,-34923.2193687,-697.660284403,-697.659771692,-1965.19070599,-1965.19070188,-63425.3889801,-63425.3878804,-1269.73565117,-1269.73473696,698.464387374,698.464413913,1097407.63975,1097615.31545,519.97600022,520.073745054,2.72848410532e-12
0.00048,98196.8826562,98196.8828915,1964.34454511,1964.34591666,1274.30451056,1274.30453332,-34570.6921092,-34570.6907464,-690.6053694,-690.604860918,-1963.93765783,-1963.93765312,-63715.2266658,-63715.2255282,-1275.53132022,-1275.53040119,691.413814929,691.413842185,1096875.207,1097082.87094,530.947414454,531.047235986,2.72848410532e-12
0.00049,98132.8346236,98132.8348886,1963.05837208,1963.05974213,1280.08315283,1280.08317634,-34217.6721968,-34217.6707981,-683.540639367,-683.540135121,-1962.65669777,-1962.65669247,-64004.1588172,-64004.1576415,-1281.30886115,-1281.30793732,684.353415963,684.353443935,1096333.64718,1096541.29941,541.913458724,542.015356838,2.95585778076e-12
0.0005,98067.3919062,98067.3922008,1961.74429965,1961.74566817,1285.84360228,1285.84362655,-33864.1659754,-33864.164541,-676.466194708,-676.465694705,-1961.34784402,-1961.34783812,-64292.1813277,-64292.1801141,-1287.06819184,-1287.06726322,677.28329082,677.283319508,1095782.99109,1095990.63166,552.874041916,552.978016493,2.95585778076e-12
0.00051,98000.555434,98000.5557583,1960.40234648,1960.40371346,1291.58577705,1291.58580208,-33510.1784693,-33510.1769991,-669.382135967,-669.381640214,-1960.01111517,-1960.01110868,-64579.2901041,-64579.2888526,-1292.80923044,-1292.80829704,670.203539982,670.203569387,1095223.27001,1095430.89897,563.829073221,563.935124147,2.95585778076e-12
