time_s,phase_a_duty,phase_b_duty,phase_c_duty,phase_a_upper_gate,phase_a_lower_gate,phase_b_upper_gate,phase_b_lower_gate,phase_c_upper_gate,phase_c_lower_gate,upper_antiparallel_diode_count,lower_antiparallel_diode_count
0.00338,0.768851735045,0.864604294721,0.135395705279,0,0,1,0,0,1,0,1
0.0034,0.768851735045,0.864604294721,0.135395705279,0,0,0,0,0,0,1,2
0.00342,0.749250796657,0.868820147814,0.131179852186,1,0,1,0,0,1,0,0
0.00344,0.749250796657,0.868820147814,0.131179852186,1,0,1,0,0,1,0,0
0.00346,0.749250796657,0.868820147814,0.131179852186,1,0,1,0,0,1,0,0
0.00348,0.749250796657,0.868820147814,0.131179852186,0,1,1,0,0,1,0,1
0.0035,0.749250796657,0.868820147814,0.131179852186,0,0,0,0,0,0,1,2
0.00352,0.729936972565,0.873438684898,0.126561315102,1,0,1,0,0,1,0,0
0.00354,0.729936972565,0.873438684898,0.126561315102,1,0,1,0,0,1,0,0
0.00356,0.729936972565,0.873438684898,0.126561315102,1,0,1,0,0,1,0,0
0.00358,0.729936972565,0.873438684898,0.126561315102,0,1,1,0,0,1,0,1
0.0036,0.729936972565,0.873438684898,0.126561315102,0,0,0,0,0,0,1,2
0.00362,0.710321611278,0.876740829936,0.123259170064,1,0,1,0,0,1,0,0
0.00364,0.710321611278,0.876740829936,0.123259170064,1,0,1,0,0,1,0,0
0.00366,0.710321611278,0.876740829936,0.123259170064,1,0,1,0,0,1,0,0
0.00368,0.710321611278,0.876740829936,0.123259170064,0,1,1,0,0,1,0,1
0.0037,0.710321611278,0.876740829936,0.123259170064,0,0,0,0,0,0,1,2
0.00372,0.690916983342,0.880333146248,0.119666853752,1,0,1,0,0,1,0,0
0.00374,0.690916983342,0.880333146248,0.119666853752,1,0,1,0,0,1,0,0
0.00376,0.690916983342,0.880333146248,0.119666853752,1,0,1,0,0,1,0,0
0.00378,0.690916983342,0.880333146248,0.119666853752,0,1,1,0,0,1,0,1
0.0038,0.690916983342,0.880333146248,0.119666853752,0,0,0,0,0,0,1,2
0.00382,0.671142063178,0.882493987578,0.117506012422,1,0,1,0,0,1,0,0
0.00384,0.671142063178,0.882493987578,0.117506012422,1,0,1,0,0,1,0,0
0.00386,0.671142063178,0.882493987578,0.117506012422,1,0,1,0,0,1,0,0
0.00388,0.671142063178,0.882493987578,0.117506012422,0,1,1,0,0,1,0,1
0.0039,0.671142063178,0.882493987578,0.117506012422,0,0,0,0,0,0,1,2
0.00392,0.651514698135,0.884828875421,0.115171124579,1,0,1,0,0,1,0,0
0.00394,0.651514698135,0.884828875421,0.115171124579,1,0,1,0,0,1,0,0
0.00396,0.651514698135,0.884828875421,0.115171124579,1,0,1,0,0,1,0,0
0.00398,0.651514698135,0.884828875421,0.115171124579,0,1,1,0,0,1,0,1
0.004,0.651514698135,0.884828875421,0.115171124579,0,0,0,0,0,0,1,2
0.00402,0.632004437541,0.887282779224,0.112717220776,1,0,1,0,0,1,0,0
0.00404,0.632004437541,0.887282779224,0.112717220776,1,0,1,0,0,1,0,0
0.00406,0.632004437541,0.887282779224,0.112717220776,1,0,1,0,0,1,0,0
0.00408,0.632004437541,0.887282779224,0.112717220776,0,1,1,0,0,1,0,1
0.0041,0.632004437541,0.887282779224,0.112717220776,0,0,0,0,0,0,1,2
0.00412,0.612583726142,0.889799751849,0.110200248151,1,0,1,0,0,1,0,0
0.00414,0.612583726142,0.889799751849,0.110200248151,1,0,1,0,0,1,0,0
0.00416,0.612583726142,0.889799751849,0.110200248151,1,0,1,0,0,1,0,0
0.00418,0.612583726142,0.889799751849,0.110200248151,0,1,1,0,0,1,0,1
0.0042,0.612583726142,0.889799751849,0.110200248151,0,0,0,0,0,0,1,2
0.00422,0.592686776837,0.890653682601,0.109346317399,1,0,1,0,0,1,0,0
0.00424,0.592686776837,0.890653682601,0.109346317399,1,0,1,0,0,1,0,0
0.00426,0.592686776837,0.890653682601,0.109346317399,1,0,1,0,0,1,0,0
0.00428,0.592686776837,0.890653682601,0.109346317399,0,1,1,0,0,1,0,1
0.0043,0.592686776837,0.890653682601,0.109346317399,0,0,0,0,0,0,1,2
0.00432,0.572842064397,0.891448233739,0.108551766261,1,0,1,0,0,1,0,0
0.00434,0.572842064397,0.891448233739,0.108551766261,1,0,1,0,0,1,0,0
0.00436,0.572842064397,0.891448233739,0.108551766261,0,0,1,0,0,1,0,1
0.00438,0.572842064397,0.891448233739,0.108551766261,0,1,1,0,0,1,0,1
0.0044,0.572842064397,0.891448233739,0.108551766261,0,0,0,0,0,0,1,2
0.00442,0.553032633065,0.892125486454,0.107874513546,1,0,1,0,0,1,0,0
0.00444,0.553032633065,0.892125486454,0.107874513546,1,0,1,0,0,1,0,0
0.00446,0.553032633065,0.892125486454,0.107874513546,0,1,1,0,0,1,0,1
0.00448,0.553032633065,0.892125486454,0.107874513546,0,1,1,0,0,1,0,1
0.0045,0.553032633065,0.892125486454,0.107874513546,0,0,0,0,0,0,1,2
0.00452,0.533244777125,0.892626897047,0.107373102953,1,0,1,0,0,1,0,0
0.00454,0.533244777125,0.892626897047,0.107373102953,1,0,1,0,0,1,0,0
0.00456,0.533244777125,0.892626897047,0.107373102953,0,1,1,0,0,1,0,1
0.00458,0.533244777125,0.892626897047,0.107373102953,0,1,1,0,0,1,0,1
0.0046,0.533244777125,0.892626897047,0.107373102953,0,0,0,0,0,0,1,2
0.00462,0.51346812592,0.89289336969,0.10710663031,1,0,1,0,0,1,0,0
0.00464,0.51346812592,0.89289336969,0.10710663031,1,0,1,0,0,1,0,0
0.00466,0.51346812592,0.89289336969,0.10710663031,0,1,1,0,0,1,0,1
0.00468,0.51346812592,0.89289336969,0.10710663031,0,1,1,0,0,1,0,1
0.0047,0.51346812592,0.89289336969,0.10710663031,0,0,0,0,0,0,1,2
0.00472,0.493695722092,0.892865331943,0.107134668057,1,0,1,0,0,1,0,0
0.00474,0.493695722092,0.892865331943,0.107134668057,1,0,1,0,0,1,0,0
0.00476,0.493695722092,0.892865331943,0.107134668057,0,1,1,0,0,1,0,1
0.00478,0.493695722092,0.892865331943,0.107134668057,0,1,1,0,0,1,0,1
0.0048,0.493695722092,0.892865331943,0.107134668057,0,0,0,0,0,0,1,2
0.00482,0.47392409278,0.892482812643,0.107517187357,1,0,1,0,0,1,0,0
0.00484,0.47392409278,0.892482812643,0.107517187357,1,0,1,0,0,1,0,0
0.00486,0.47392409278,0.892482812643,0.107517187357,0,1,1,0,0,1,0,1
0.00488,0.47392409278,0.892482812643,0.107517187357,0,1,1,0,0,1,0,1
0.0049,0.47392409278,0.892482812643,0.107517187357,0,0,0,0,0,0,1,2
0.00492,0.454153313523,0.891685521761,0.108314478239,1,0,1,0,0,1,0,0
0.00494,0.454153313523,0.891685521761,0.108314478239,1,0,1,0,0,1,0,0
0.00496,0.454153313523,0.891685521761,0.108314478239,0,1,1,0,0,1,0,1
0.00498,0.454153313523,0.891685521761,0.108314478239,0,1,1,0,0,1,0,1
0.005,0.454153313523,0.891685521761,0.108314478239,0,0,0,0,0,0,2,1
0.00502,0.434327536585,0.890419415722,0.109580584278,1,0,1,0,0,1,0,0
0.00504,0.434327536585,0.890419415722,0.109580584278,1,0,1,0,0,1,0,0
0.00506,0.434327536585,0.890419415722,0.109580584278,0,1,1,0,0,1,0,1
0.00508,0.434327536585,0.890419415722,0.109580584278,0,1,1,0,0,1,0,0
0.0051,0.434327536585,0.890419415722,0.109580584278,0,0,0,0,0,0,2,1
0.00512,0.411113906855,0.888988025108,0.111011974892,1,0,1,0,0,1,1,0
0.00514,0.411113906855,0.888988025108,0.111011974892,1,0,1,0,0,1,0,0
0.00516,0.411113906855,0.888988025108,0.111011974892,0,1,1,0,0,1,0,1
0.00518,0.411113906855,0.888988025108,0.111011974892,0,1,1,0,0,1,0,0
0.0052,0.411113906855,0.888988025108,0.111011974892,0,0,0,0,0,0,2,1
0.00522,0.387828888264,0.88696420751,0.11303579249,1,0,1,0,0,1,1,0
0.00524,0.387828888264,0.88696420751,0.11303579249,1,0,1,0,0,1,0,0
0.00526,0.387828888264,0.88696420751,0.11303579249,0,1,1,0,0,1,0,0
0.00528,0.387828888264,0.88696420751,0.11303579249,0,1,1,0,0,1,0,0
