time_s,S50_voltage,L50_voltage,S60_voltage,L60_voltage
0.0107,-97.5916761939,-89.7072306106,-18.5238616596,-26.4202860288
0.01075,-97.2369920398,-89.4914178018,-16.2858686921,-24.4293173858
0.0108,-96.8583161129,-89.2535243248,-14.042089433,-22.4296691227
0.01085,-96.4557418458,-88.9936088761,-11.7933210864,-20.422051705
0.0109,-96.0293685677,-88.7117355861,-9.54036262892,-18.4071784296
0.01095,-95.5793014798,-88.4079740028,-7.28401452605,-16.3857651713
0.011,-95.1056516295,-88.0823990748,-5.02507844751,-14.3585301286
0.01105,-94.6085358827,-87.7350911328,-2.76435698251,-12.3261935686
0.0111,-94.0880768954,-87.3661358699,-0.502653354643,-10.2894775707
0.01115,-93.544403083,-86.9756243203,1.75922886356,-8.24910577041
0.0112,-92.9776485888,-86.5636528367,4.02048603613,-6.20580310212
0.01125,-92.3879532511,-86.1303230672,6.28031474915,-4.16029554153
0.0113,-91.7754625684,-85.6757419292,8.53791209625,-2.11330984775
0.01135,-91.1403276635,-85.2000215839,10.7924759638,-0.0655733050363
0.0114,-90.4827052466,-84.7032794081,13.0432053161,1.98218653556
0.01145,-89.8027575761,-84.1856379656,15.2893004796,4.02924211471
0.0115,-89.1006524188,-83.6472249766,17.5299634275,6.07486612333
0.01155,-88.3765630089,-83.0881732865,19.7643980628,8.11833176094
0.0116,-87.6306680044,-82.5086208329,21.9918105016,10.1589129939
0.01165,-86.8631514438,-81.9087106117,24.2114093549,12.1958848135
0.0117,-86.0742027004,-81.2885906418,26.4224060097,14.2285234933
0.01175,-85.2640164354,-80.6484139285,28.6240149094,16.2561068464
0.0118,-84.4327925502,-79.9883384258,30.815453833,18.2779144822
0.01185,-83.5807361368,-79.3085269976,32.9959441725,20.293228062
0.0119,-82.7080574274,-78.609147377,35.1647112102,22.3013315545
0.01195,-81.8149717425,-77.8903721255,37.3209843934,24.30151149
0.012,-80.9016994375,-77.1523785902,39.4639976086,26.2930572143
0.01205,-79.9684658487,-76.39534886,41.5929894534,28.2752611405
0.0121,-79.0155012376,-75.6194697205,43.707203507,30.2474190011
0.01215,-78.0430407338,-74.8249326085,45.8058885994,32.2088300977
0.0122,-77.0513242776,-74.0119335639,47.8882990776,34.1587975504
0.01225,-76.04059656,-73.1806731822,49.9536950712,36.096628545
0.0123,-75.011106963,-72.3313565644,52.0013427549,38.0216345793
0.01235,-73.9631094979,-71.4641932667,54.030514609,39.9331317079
0.0124,-72.8968627421,-70.5793972486,56.0404896786,41.8304407849
0.01245,-71.8126297763,-69.6771868204,58.030553829,43.7128877055
0.0125,-70.7106781187,-68.7577845889,60,45.5798036452
0.01255,-69.5912796592,-67.8214174029,61.9481284567,47.4305252978
0.0126,-68.4547105929,-66.868316297,63.8742470383,49.2643951105
0.01265,-67.301251351,-65.8987164347,65.7776714041,51.0807615183
0.0127,-66.1311865324,-64.9128570501,67.6577252764,52.8789791747
0.01275,-64.944804833,-63.9109813894,69.5137406811,54.6584091816
0.0128,-63.7423989749,-62.8933366503,71.3450581848,56.418419316
0.01285,-62.5242656336,-61.8601739215,73.1510271289,58.1583842546
0.0129,-61.2907053653,-60.8117481204,74.9310058615,59.8776857963
0.01295,-60.0420225326,-59.7483179304,76.6843619645,61.5757130812
0.013,-58.7785252292,-58.670145737,78.4104724788,63.2518628086
0.01305,-57.5005252043,-57.577497563,80.1087241256,64.9055394502
0.0131,-56.2083377852,-56.4706430031,81.7785135242,66.5361554628
0.01315,-54.9022817998,-55.349855157,83.4192474063,68.1431314961
0.0132,-53.5826794979,-54.2154105623,85.030342827,69.7258965993
0.01325,-52.2498564716,-53.0675891264,86.6112273718,71.2838884234
0.0133,-50.904141575,-51.9066740568,88.1613393599,72.8165534214
0.01335,-49.5458668432,-50.7329517922,89.6801280439,74.3233470447
0.0134,-48.1753674102,-49.5467119308,91.1670538055,75.8037339367
0.01345,-46.7929814261,-48.3482471597,92.621588347,77.257188123
0.0135,-45.3990499739,-47.137853182,94.0432148791,78.6831931982
0.01355,-43.9939169856,-45.9158286444,95.4314283048,80.0812425095
0.0136,-42.5779291565,-44.6824750631,96.7857353984,81.4508393367
0.01365,-41.1514358605,-43.4380967497,98.1056549811,82.7914970684
0.0137,-39.7147890635,-42.1830007359,99.3907180917,84.1027393755
0.01375,-38.2683432365,-40.9174966978,100.640468153,85.3841003798
0.0138,-36.8124552685,-39.6418968797,101.854461136,86.6351248198
0.01385,-35.3474843779,-38.3565160168,103.032265714,87.8553682124
0.0139,-33.8737920245,-37.0616712574,104.173463418,89.0443970111
0.01395,-32.3917418198,-35.7576820853,105.277648786,90.2017887594
0.014,-30.9016994375,-34.4448702401,106.344429508,91.3271322418
0.01405,-29.4040325232,-33.1235596386,107.37342656,92.4200276289
0.0141,-27.8991106039,-31.7940762944,108.364274344,93.4800866203
0.01415,-26.3873049965,-30.4567482376,109.316620818,94.506932582
0.0142,-24.8689887165,-29.111905434,110.230127617,95.5002006806
0.01425,-23.3445363856,-27.7598797032,111.104470177,96.4595380126
0.0143,-21.8143241396,-26.4010046376,111.939337848,97.3846037301
0.01435,-20.2787295356,-25.0356155191,112.734434004,98.2750691615
0.0144,-18.7381314586,-23.664049237,113.489476154,99.1306179289
0.01445,-17.1929100279,-22.286644205,114.204196032,99.9509460597
0.0145,-15.643446504,-20.9037402769,114.878339704,100.735762095
0.01455,-14.0901231938,-19.5156786637,115.511667648,101.484787194
0.0146,-12.5333233564,-18.1228018488,116.103954847,102.197755232
0.01465,-10.9734311091,-16.7254535038,116.654990864,102.874412893
0.0147,-9.41083133185,-15.3239784034,117.164579918,103.514519766
0.01475,-7.84590957278,-13.9187223406,117.632540955,104.117848422
0.0148,-6.27905195293,-12.5100320413,118.058707709,104.684184503
0.01485,-4.71064507096,-11.0982550788,118.442928768,105.213326791
0.0149,-3.14107590781,-9.68373978794,118.785067617,105.705087286
0.01495,-1.57073173118,-8.26683517919,119.085002698,106.159291266
0.015,-7.35863099819e-13,-6.84789085255,119.342627444,106.575777355
0.01505,1.57073173118,-5.42725691132,119.557850323,106.954397579
0.0151,3.14107590781,-4.00528387565,119.730594867,107.295017414
0.01515,4.71064507096,-2.58232259612,119.860799701,107.59751584
0.0152,6.27905195293,-1.15872416713,119.948418563,107.861785382
