time_s,SRCE A_v_pu,BUS  A_v_pu,SRCE B_v_pu,BUS  B_v_pu,SRCE C_v_pu,BUS  C_v_pu,BANK A_v_pu,BANK N_v_pu,BANK B_v_pu,BANK C_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,branch_voltage_branch_fixed_4_pu,branch_voltage_branch_fixed_5_pu,branch_voltage_branch_fixed_6_pu,switch_voltage_switch_fixed_1_pu,switch_voltage_switch_fixed_2_pu,switch_voltage_switch_fixed_3_pu
0.02415,-0.94909614499,-0.94909614499,0.747334400366,0.747334400366,0.201761744624,0.201761744624,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.94909614499,0.747334400366,0.201761744624,-0.36580769583,1.36569503844,-0.999938852599,-0.0681885280592,-0.103260716968,1.71680051832
0.0242,-0.954864544747,-0.954864544747,0.734677827999,0.734677827999,0.220186716747,0.220186716747,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.954864544747,0.734677827999,0.220186716747,-0.36580769583,1.36569503844,-0.999938852599,-0.0739569278156,-0.115917289335,1.73522549045
0.02425,-0.960293685677,-0.960293685677,0.721760228098,0.721760228098,0.238533457579,0.238533457579,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.960293685677,0.721760228098,0.238533457579,-0.36580769583,1.36569503844,-0.999938852599,-0.0793860687459,-0.128834889236,1.75357223128
0.0243,-0.965381638833,-0.965381638833,0.708586190225,0.708586190225,0.256795448608,0.256795448608,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.965381638833,0.708586190225,0.256795448608,-0.36580769583,1.36569503844,-0.999938852599,-0.0844740219022,-0.142008927109,1.77183422231
0.02435,-0.97012659649,-0.97012659649,0.695160395052,0.695160395052,0.274966201438,0.274966201438,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.97012659649,0.695160395052,0.274966201438,-0.36580769583,1.36569503844,-0.999938852599,-0.0892189795591,-0.155434722282,1.79000497514
0.0244,-0.974526872787,-0.974526872787,0.681487612702,0.681487612702,0.293039260085,0.293039260085,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.974526872787,0.681487612702,0.293039260085,-0.36580769583,1.36569503844,-0.999938852599,-0.0936192558555,-0.169107504633,1.80807803379
0.02445,-0.978580904325,-0.978580904325,0.667572701047,0.667572701047,0.311008203279,0.311008203279,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.978580904325,0.667572701047,0.311008203279,-0.36580769583,1.36569503844,-0.999938852599,-0.0976732873944,-0.183022416288,1.82604697698
0.0245,-0.982287250729,-0.982287250729,0.65342060399,0.65342060399,0.328866646739,0.328866646739,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.982287250729,0.65342060399,0.328866646739,-0.36580769583,1.36569503844,-0.999938852599,-0.101379633798,-0.197174513344,1.84390542044
0.02455,-0.985644595149,-0.985644595149,0.639036349704,0.639036349704,0.346608245445,0.346608245445,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.985644595149,0.639036349704,0.346608245445,-0.36580769583,1.36569503844,-0.999938852599,-0.104736978218,-0.21155876763,1.86164701914
0.0246,-0.988651744738,-0.988651744738,0.624425048846,0.624425048846,0.364226695892,0.364226695892,-0.880907616931,-0.515099921102,0.850595117335,-1.5150387737,-0.880907616931,0.850595117335,-1.5150387737,-0.515099921102,-0.988651744738,0.624425048846,0.364226695892,-0.36580769583,1.36569503844,-0.999938852599,-0.107744127807,-0.226170068488,1.87926546959
