time_s,receiving_voltage_phase_1_v,sending_current_phase_1_a,receiving_current_phase_1_a,receiving_voltage_phase_2_v,sending_current_phase_2_a,receiving_current_phase_2_a,receiving_voltage_phase_3_v,sending_current_phase_3_a,receiving_current_phase_3_a
0.00067,96814.2130129,1936.56531633,-1936.28426026,-26977.6401325,-538.801181008,539.552802649,-69886.4565688,-1398.82629621,1397.72913138
0.00068,96720.2957197,1934.68362587,-1934.40591439,-26614.5629079,-531.536395515,532.291258157,-70155.6731735,-1404.21059183,1403.11346347
0.00069,96625.003817,1932.77443926,-1932.50007634,-26251.1074314,-524.264055713,525.022148628,-70423.8927107,-1409.57493051,1408.47785421
0.0007,96528.3386591,1930.83778366,-1930.56677318,-25887.2788686,-516.984264959,517.745577372,-70691.1113685,-1414.91923601,1413.82222737
0.00071,96430.3016198,1928.87368657,-1928.6060324,-25523.0823903,-509.697126714,510.461647805,-70957.3253492,-1420.24343237,1419.14650698
0.00072,96330.8940925,1926.88217592,-1926.61788185,-25158.5231724,-502.402744544,503.170463448,-71222.5308692,-1425.54744393,1424.45061738
0.00073,96230.11749,1924.86328001,-1924.6023498,-24793.6063963,-495.101222119,495.872127926,-71486.7241594,-1430.83119531,1429.73448319
0.00074,96127.9732445,1922.81702753,-1922.55946489,-24428.3372481,-487.79266321,488.566744963,-71749.901465,-1436.09461141,1434.9980293
0.00075,29.8112992418,2844.85332019,-2981.72615017,-43471.3775481,-832.322182437,869.427550963,-84659.5283296,-1677.05103789,1693.19056659
0.00076,45.3201372152,4678.6693243,-4532.92012426,-66534.3517828,-1395.33700708,1330.68703566,-104224.408892,-2118.10654299,2084.48817783
0.00077,60.59660787,5948.36840236,-6060.87271916,-80240.5840729,-1559.92099964,1604.81168146,-118889.515979,-2362.93416712,2377.79031957
0.00078,71.3757344254,7232.63121963,-7139.00095722,-82715.6104371,-1693.7850418,1654.31220874,-124926.036365,-2519.95977441,2498.5207273
0.00079,83.3448000376,8267.54758612,-8336.14689977,-87469.3618835,-1720.96742666,1749.38723767,-129710.254742,-2582.8625477,2594.20509483
0.0008,93.1466610514,9368.95511822,-9316.52903836,-87133.1166207,-1764.27953711,1742.66233241,-131286.188228,-2638.61859842,2625.72376456
0.00081,103.779773867,10342.3438257,-10380.0529821,-88799.5525635,-1759.84964414,1775.99105127,-133207.683767,-2657.74991559,2664.15367535
0.00082,113.344877847,11364.7602509,-11336.7546823,-88149.4424779,-1774.32056746,1762.98884956,-133751.212097,-2682.68727423,2675.02424194
0.00083,123.354508885,12317.8779365,-12337.9179786,-88659.6929489,-1764.17844392,1773.19385898,-134712.476905,-2691.26497466,2694.24953809
0.00084,132.812287375,13298.6394252,-13283.8849833,-88077.6238087,-1767.35240233,1761.55247617,-135030.792132,-2705.31568684,2700.61584263
0.00085,142.480234053,14240.3278078,-14250.87301,-88111.8910646,-1757.09685484,1762.23782129,-135616.940682,-2711.35806258,2712.33881364
0.00086,151.845032534,15195.2945068,-15187.5401541,-87607.4332179,-1755.00222067,1752.14866436,-135886.565042,-2720.81912136,2717.73130085
0.00087,161.29510812,16127.1951408,-16132.7367141,-87424.4640297,-1745.43052574,1748.48928059,-136303.109581,-2726.17745947,2726.06219161
0.00088,170.566215631,17064.1117991,-17060.0328874,-86964.8051731,-1740.56634972,1739.29610346,-136557.527668,-2733.38113523,2731.15055336
0.00089,179.859075139,17986.5865577,-17989.5046954,-86672.4770609,-1731.51205387,1733.44954122,-136886.844652,-2738.42996136,2737.73689304
0.0009,189.037240797,18909.6515789,-18907.5048245,-86233.4376625,-1725.07873312,1724.66875325,-137130.1919,-2744.38423697,2742.603838
0.00091,198.205731304,19822.9936548,-19824.537245,-85881.115926,-1716.28929857,1717.62231852,-137409.41879,-2749.178735,2748.18837579
0.00092,207.293959308,20734.6688962,-20733.54181,-85449.01508,-1708.91874951,1708.9803016,-137641.344276,-2754.3719827,2752.82688552
0.00093,216.357484826,21639.2520006,-21640.0756323,-85061.2107225,-1700.21564004,1701.22421445,-137888.888659,-2758.91797989,2757.77777319
0.00094,225.359842578,22541.0775641,-22540.4914547,-84628.9879414,-1692.25771085,1692.57975883,-138109.192275,-2763.60555296,2762.18384551
