time_s,receiving_voltage_phase_1_minimum_v,receiving_voltage_phase_1_maximum_v,sending_current_phase_1_minimum_a,sending_current_phase_1_maximum_a,receiving_current_phase_1_minimum_a,receiving_current_phase_1_maximum_a,receiving_voltage_phase_2_minimum_v,receiving_voltage_phase_2_maximum_v,sending_current_phase_2_minimum_a,sending_current_phase_2_maximum_a,receiving_current_phase_2_minimum_a,receiving_current_phase_2_maximum_a,receiving_voltage_phase_3_minimum_v,receiving_voltage_phase_3_maximum_v,sending_current_phase_3_minimum_a,sending_current_phase_3_maximum_a,receiving_current_phase_3_minimum_a,receiving_current_phase_3_maximum_a,terminal_power_minimum_w,terminal_power_maximum_w,cumulative_supplied_energy_minimum_j,cumulative_supplied_energy_maximum_j,maximum_kcl_residual_a
0.00071,96430.3016198,96430.30216,1928.87368657,1928.87475283,-1928.6060432,-1928.6060324,-25523.0823903,-25523.0818352,-509.697393807,-509.697126714,510.461636704,510.461647805,-70957.3253492,-70957.3247638,-1420.24419821,-1420.24343237,1419.14649528,1419.14650698,231436.397178,231600.602025,176.473247217,176.589833384,3.41060513165e-12
0.00072,96330.8940925,96330.8946258,1926.88217592,1926.88324095,-1926.61789252,-1926.61788185,-25158.5231724,-25158.5226244,-502.403007788,-502.402744544,503.170452489,503.170463448,-71222.5308692,-71222.5302908,-1425.54821281,-1425.54744393,1424.45060582,1424.45061738,230883.988634,231048.193458,178.784849146,178.903077361,3.41060513165e-12
0.00073,96230.11749,96230.1180164,1924.86328001,1924.8643438,-1924.60236033,-1924.6023498,-24793.6063963,-24793.6058554,-495.101481509,-495.101222119,495.872117108,495.872127926,-71486.7241594,-71486.723588,-1430.83196722,-1430.83119531,1429.73447176,1429.73448319,230329.211787,230493.416588,181.090915148,181.210785411,3.41060513165e-12
0.00074,96127.9732445,96127.9737641,1922.81702753,1922.81809006,-1922.55947528,-1922.55946489,-24428.3372481,-24428.3367143,-487.792918742,-487.79266321,488.566734286,488.566744963,-71749.901465,-71749.9009006,-1436.09538633,-1436.09461141,1434.99801801,1434.9980293,229772.098175,229936.302952,183.391421698,183.512934009,3.41060513165e-12
0.00075,29.7991081892,29.8112992418,2843.66662615,2844.85332019,-2981.72615017,-2980.50680108,-43498.1629241,-43471.3775481,-832.880519084,-832.322182437,869.427550963,869.963258482,-84694.0327448,-84659.5283296,-1677.7742383,-1677.05103789,1693.19056659,1693.8806549,232644206.059,232856033.736,1347.88364582,1348.82045087,3.41060513165e-12
0.00076,45.2788915807,45.3201372152,4674.54079437,4678.6693243,-4532.92012426,-4528.79473591,-66602.9622726,-66534.3517828,-1396.74033806,-1395.33700708,1330.68703566,1332.05924545,-104312.661204,-104224.408892,-2119.91425105,-2118.10654299,2084.48817783,2086.25322407,328213130.61,328995643.058,4152.17032916,4158.07883484,3.63797880709e-12
0.00077,60.5178800843,60.59660787,5940.53952264,5948.36840236,-6060.87271916,-6052.99836604,-80339.5754965,-80240.5840729,-1561.89591435,-1559.92099964,1604.81168146,1606.79150993,-119014.469792,-118889.515979,-2365.42297545,-2362.93416712,2377.79031957,2380.28939584,364520095.71,365955143.141,7615.83646076,7632.83276583,4.54747350886e-12
0.00078,71.254018959,71.3757344254,7220.42479803,7232.63121963,-7139.00095722,-7126.82697628,-82829.7914043,-82715.6104371,-1696.09131638,-1693.7850418,1654.31220874,1656.59582809,-125069.42243,-124926.036365,-2522.86093696,-2519.95977441,2498.5207273,2501.3884486,463118926.034,465116255.005,11754.0315695,11788.1897566,8.18545231596e-12
0.00079,83.1776196454,83.3448000376,8250.86692865,8267.54758612,-8336.14689977,-8319.42551693,-87593.4257041,-87469.3618835,-1723.44113729,-1720.96742666,1749.38723767,1751.86851408,-129866.075751,-129710.254742,-2585.96558931,-2582.8625477,2594.20509483,2597.32151501,525212318.003,527764914.494,16695.6877897,16752.5956041,8.18545231596e-12
0.0008,92.9332006004,93.1466610514,9347.57337122,9368.95511822,-9316.52903836,-9295.17872405,-87261.0576746,-87133.1166207,-1766.84912998,-1764.27953711,1742.66233241,1745.22115349,-131445.924858,-131286.188228,-2641.8300219,-2638.61859842,2625.72376456,2628.91849716,626835658.806,629866402.889,22455.9276737,22540.752191,8.18545231596e-12
0.00081,103.51954518,103.779773867,10316.3446402,10342.3438257,-10380.0529821,-10354.0249089,-88929.2693806,-88799.5525635,-1762.43966517,-1759.84964414,1775.99105127,1778.58538761,-133369.867803,-133207.683767,-2660.98611055,-2657.74991559,2664.15367535,2667.39735607,703240805.804,706746122.874,29106.3099968,29223.8148198,8.18545231596e-12
0.00082,113.038437889,113.344877847,11334.0872181,11364.7602509,-11336.7546823,-11306.1045577,-88279.1571009,-88149.4424779,-1776.91933246,-1774.32056746,1762.98884956,1765.58314202,-133912.896652,-133751.212097,-2685.92849273,-2682.68727423,2675.02424194,2678.25793303,800388156.854,804331223.267,36624.45481,36779.2015505,1.09139364213e-11
0.00083,123.00196917,123.354508885,12282.6356638,12317.8779365,-12337.9179786,-12302.6569564,-88788.8007866,-88659.6929489,-1766.75894861,-1764.17844392,1773.19385898,1775.77601573,-134873.504522,-134712.476905,-2694.48230296,-2691.26497466,2694.24953809,2697.47009044,882570919.393,886948877.125,45039.2501913,45235.6020525,1.09139364213e-11
0.00084,132.414446063,132.812287375,13258.8323929,13298.6394252,-13283.8849833,-13244.0928952,-88205.7510385,-88077.6238087,-1769.91664792,-1767.35240233,1761.55247617,1764.11502077,-135190.328333,-135030.792132,-2708.50995594,-2705.31568684,2700.61584263,2703.80656666,975150034.38,979945482.602,54327.8549602,54570.0738511,1.09139364213e-11
0.00085,142.037372849,142.480234053,14196.0444447,14240.3278078,-14250.87301,-14206.5780323,-88238.8967996,-88111.8910646,-1759.63679653,-1757.09685484,1762.23782129,1764.77793599,-135775.107311,-135616.940682,-2714.52044533,-2711.35806258,2712.33881364,2715.50214623,1059250577.83,1064459641.22,64499.8580212,64792.0994702,1.27329258248e-11
0.00086,151.357878146,151.845032534,15146.5601321,15195.2945068,-15187.5401541,-15138.8149721,-87733.3544143,-87607.4332179,-1757.52126765,-1755.00222067,1752.14866436,1754.66708829,-136043.2043,-135886.565042,-2723.95384851,-2720.81912136,2717.73130085,2720.86408601,1148394272.46,1154007427.6,75538.0822727,75884.4348143,1.63709046319e-11
0.00087,160.763986937,161.29510812,16074.0794001,16127.1951408,-16132.7367141,-16079.6139734,-87549.2691553,-87424.4640297,-1747.92711569,-1745.43052574,1748.48928059,1750.98538311,-136458.356023,-136303.109581,-2729.28255553,-2726.17745947,2726.06219161,2729.16712046,1232701665.1,1238714351.86,87443.5619605,87848.0437116,1.63709046319e-11
