time_s,T5-PH_v_pu,T5-GW_v_pu,T1GRND_v_pu,T2GRND_v_pu,T3GRND_v_pu,T4GRND_v_pu,T5GRND_v_pu,T1-GW_v_pu,T2-GW_v_pu,T2GRNO_v_pu,T3-GW_v_pu,T3GRNO_v_pu,T4-GW_v_pu,T4GRNO_v_pu,T1-PH_v_pu,T2-PH_v_pu,T3-PH_v_pu,T4-PH_v_pu,output_fixed_1_pu,output_fixed_2_pu,output_fixed_3_pu,output_fixed_4_pu,output_fixed_5_pu,output_fixed_6_pu,output_fixed_7_pu,output_fixed_8_pu,output_fixed_9_pu,output_fixed_10_pu,switch_voltage_switch_fixed_1_pu
3.6618e-06,0,0,-37.4339351091,0,0,0,0,-35.8337707395,-34.6818446054,-35.1631237626,-38.7365937225,-37.0480943834,-14.7905250397,-15.0566761953,-10.5985145838,-10.2578106702,-11.4570793144,-4.37457716844,-35.8337707395,-10.5985145838,-34.6818446054,-10.2578106702,-38.7365937225,-11.4570793144,-14.7905250397,-4.37457716844,0,0,-25.2352561556
3.672e-06,0,0,-37.4218084244,0,0,0,0,-35.9851543638,-34.8019272553,-35.4334281708,-38.6047462572,-37.0634126581,-15.3723565235,-15.721580771,-10.6432891503,-10.2933273822,-11.418082936,-4.54666482035,-35.9851543638,-10.6432891503,-34.8019272553,-10.2933273822,-38.6047462572,-11.418082936,-15.3723565235,-4.54666482035,0,0,-25.3418652135
3.6822e-06,0,0,-37.418550214,0,0,0,0,-36.136537988,-34.9220101385,-35.7037325789,-38.472898792,-37.1097575292,-15.9541881659,-16.3864853468,-10.6880637168,-10.3288441633,-11.3790865576,-4.71875251921,-36.136537988,-10.6880637168,-34.9220101385,-10.3288441633,-38.472898792,-11.3790865576,-15.9541881659,-4.71875251921,0,0,-25.4484742713
3.6924e-06,0,0,-37.41572802,0,0,0,0,-36.2879216123,-35.0420930224,-35.9740369871,-38.3410513267,-37.1576379967,-16.5360198088,-17.0513899226,-10.7328382832,-10.3643609445,-11.3400901792,-4.8908402182,-36.2879216123,-10.7328382832,-35.0420930224,-10.3643609445,-38.3410513267,-11.3400901792,-16.5360198088,-4.8908402182,0,0,-25.5550833291
3.7026e-06,0,0,-37.4129125948,0,0,0,0,-36.4393052366,-35.1621759063,-36.2443413952,-38.2092038614,-37.2055445239,-17.1178514517,-17.7162944983,-10.7776128497,-10.3998777257,-11.3010938008,-5.06292791718,-36.4393052366,-10.7776128497,-35.1621759063,-10.3998777257,-38.2092038614,-11.3010938008,-17.1178514517,-5.06292791718,0,0,-25.6616923869
3.7128e-06,0,0,-37.4100972219,0,0,0,0,-36.5906888609,-35.2822591342,-36.5146458034,-38.0773563962,-37.2534513572,-17.6996830946,-18.3811990741,-10.8223874162,-10.4353946087,-11.2620974224,-5.23501561617,-36.5906888609,-10.8223874162,-35.2822591342,-10.4353946087,-38.0773563962,-11.2620974224,-17.6996830946,-5.23501561617,0,0,-25.7683014447
3.723e-06,0,0,-37.4072818492,0,0,0,0,-36.7420724852,-35.4023425192,-36.7849502115,-37.9455089309,-37.3013581947,-18.2815147375,-19.0461036499,-10.8671619826,-10.4709115382,-11.223101044,-5.40710331516,-36.7420724852,-10.8671619826,-35.4023425192,-10.4709115382,-37.9455089309,-11.223101044,-18.2815147375,-5.40710331516,0,0,-25.8749105025
3.7332e-06,0,0,-37.4044664765,0,0,0,0,-36.8934561095,-35.5224259185,-36.9359516835,-37.8136614657,-37.3492650323,-18.8633463804,-19.645033105,-10.9119365491,-10.5064284718,-11.1841046656,-5.57919101414,-36.8934561095,-10.9119365491,-35.5224259185,-10.5064284718,-37.8136614657,-11.1841046656,-18.8633463804,-5.57919101414,0,0,-25.9815195604
3.7434e-06,0,0,-37.4016511038,0,0,0,0,-37.0448397338,-35.6425093184,-36.9587685354,-37.6818140004,-37.3971718699,-19.4451780233,-20.1730758239,-10.9567111156,-10.5419454057,-11.1451082872,-5.75127871313,-37.0448397338,-10.9567111156,-35.6425093184,-10.5419454057,-37.6818140004,-11.1451082872,-19.4451780233,-5.75127871313,0,0,-26.0881286182
3.7536e-06,0,0,-37.3988357311,0,0,0,0,-37.196223358,-35.7625927183,-36.9348307134,-37.5499665351,-37.4450787075,-20.0270096662,-20.6752629742,-11.001485682,-10.5774623395,-11.1061119087,-5.92336641211,-37.196223358,-11.001485682,-35.7625927183,-10.5774623395,-37.5499665351,-11.1061119087,-20.0270096662,-5.92336641211,0,0,-26.194737676
