time_s,lightning_current_a,tower_top_voltage_v,ground_potential_rise_v,insulator_stress_v,flashover_state
7.1e-05,7673.43672035,139024.810245,139017.845092,0.00695819469267,1
7.15e-05,7597.08474926,137640.081261,137633.185436,0.0068889358447,1
7.2e-05,7521.49249299,136269.154384,136262.327198,0.00682036639308,1
7.25e-05,7446.65239223,134911.891801,134905.132569,0.00675247947255,1
7.3e-05,7372.55696291,133568.157079,133561.465125,0.00668526828664,1
7.35e-05,7299.19879544,132237.815152,132231.189807,0.00661872610626,1
7.4e-05,7226.57055392,130920.732308,130914.172909,0.00655284626967,1
7.45e-05,7154.66497549,129616.776176,129610.282067,0.00648762218141,1
7.5e-05,7083.47486951,128325.81571,128319.386239,0.00642304731182,1
7.55e-05,7012.99311693,127047.721177,127041.355703,0.00635911519632,1
7.6e-05,6943.2126695,125782.364146,125776.062031,0.00629581943481,1
7.65e-05,6874.12654912,124529.617471,124523.378084,0.00623315369099,1
7.7e-05,6805.72784713,123289.355281,123283.177998,0.00617111169174,1
7.75e-05,6738.00972359,122061.452964,122055.337167,0.00610968722643,1
7.8e-05,6670.96540664,120845.78716,120839.732237,0.00604887414645,1
7.85e-05,6604.58819179,119642.235741,119636.241086,0.00598866636436,1
7.9e-05,6538.87144127,118450.677805,118444.742818,0.00592905785351,1
7.95e-05,6473.80858333,117270.99366,117265.117747,0.00587004264733,1
8e-05,6409.39311165,116103.064813,116097.247387,0.0058116148387,1
8.05e-05,6345.61858463,114946.773957,114941.014435,0.00575376857935,1
8.1e-05,6282.47862474,113802.004961,113796.302767,0.00569649807938,1
8.15e-05,6219.96691796,112668.642856,112662.997418,0.00563979760657,1
8.2e-05,6158.07721305,111546.573823,111540.984578,0.00558366148583,1
8.25e-05,6096.803321,110435.685186,110430.151573,0.00552808409867,1
8.3e-05,6036.13911435,109335.865391,109330.386858,0.00547305988254,1
8.35e-05,5976.07852665,108247.004062,108241.58006,0.00541858333013,1
8.4e-05,5916.61555179,107168.991761,107163.621747,0.00536464898983,1
8.45e-05,5857.7442434,106101.720308,106096.403745,0.00531125146349,1
