time_s,node_BUSA2_voltage,node_BUSAS2_voltage,node_BUSB2_voltage,node_BUSBS2_voltage,node_BUSC2_voltage,node_BUSCS2_voltage,node_BUSFD_voltage,node_BUSMG_voltage,node_BUSMGR_voltage,node_BUSMS_voltage,node_UM1TLA_voltage,node_UM1TLB_voltage,node_UM1TLC_voltage,node_UM1MCC_voltage,output_fixed_1,output_fixed_2,output_fixed_3,output_fixed_4,branch_current_branch_fixed_1,branch_current_branch_fixed_8,branch_current_branch_fixed_10,branch_current_branch_fixed_11,torque_Nm,mechanical_speed_rad_s,synchronous_torque_angle_rad,phase_a_current_A,phase_b_current_A,phase_c_current_A,field_current_A,q_axis_damper_current_A
0.0586,-2534.69304964,-2984.85305094,1036.73543186,1231.67914159,1497.95761778,1753.17390936,-45.2362244413,188.555382246,94.2776911228,188.555589475,-2480.67405375,1013.34351215,1467.33054161,188.555382246,-2984.85305094,-2534.69304964,-45.2362244413,188.555382246,17.0225977258,207.294835362,90.0285066962,207.229066433,-90.094275239,188.495559215,-5.3290705182e-14,17.0225977258,-110.454603136,93.43200541,-197.744590391,-4.60203461257
0.0588,-2504.44324737,-2953.69300359,857.864853163,1022.12325583,1646.5783942,1931.56974776,-44.7639858179,188.555567176,94.2777835878,188.555774405,-2450.53358882,838.155213399,1612.37837542,188.555567176,-2953.69300359,-2504.44324737,-44.7639858179,188.555567176,26.0166522618,207.295038672,91.202934444,207.229066461,-91.2689063535,188.495559215,-5.68434188608e-14,26.0166522618,-114.046399759,88.029747497,-196.514922586,-4.68261555031
0.059,-2460.20769177,-2905.74948339,674.754549694,806.759461846,1785.45314208,2098.99002154,-44.0373892976,188.555754849,94.2778774247,188.555962079,-2406.74309635,658.915364341,1747.82773201,188.555754849,-2905.74948339,-2460.20769177,-44.0373892976,188.555754849,34.964506759,207.295244997,92.7174393535,207.229066518,-92.7836175724,188.495559215,-5.3290705182e-14,34.964506759,-117.008801852,82.0442950928,-195.298784459,-4.78377251106
0.0592,-2402.31283302,-2841.29491498,488.448495094,586.811499666,1913.86433793,2254.48341532,-43.0605635468,188.555945952,94.2779729762,188.556153181,-2349.6355089,476.646366293,1872.98914261,188.555945952,-2841.29491498,-2402.31283302,-43.0605635468,188.555945952,43.8096667206,207.295455093,94.5633771718,207.22906649,-94.6297654835,188.495559215,-5.68434188608e-14,43.8096667206,-119.312244698,75.5025779774,-194.100260151,-4.90502053861
0.0594,-2331.15633369,-2760.6955421,299.996933548,363.529157489,2031.15940014,2397.16638461,-41.8390590843,188.55614115,94.278070575,188.556348379,-2279.61225861,292.374517847,1987.23774077,188.55614115,-2760.6955421,-2331.15633369,-41.8390590843,188.55614115,52.4947833199,207.29566969,96.730309844,207.22906649,-96.7969127575,188.495559215,-6.03961325396e-14,52.4947833199,-120.93095674,68.43617342,-192.923337321,-5.04575906528
0.0596,-2247.20344915,-2664.40934644,110.450638076,138.181170122,2136.75281108,2526.22817632,-40.3798167421,188.556341085,94.2781705425,188.556548314,-2197.13947303,107.12443635,2090.01503668,188.556341085,-2664.40934644,-2247.20344915,-40.3798167421,188.556341085,60.96212092,207.295889495,99.2060832083,207.229066461,-99.2729059384,188.495559215,-5.68434188608e-14,60.96212092,-121.843341526,60.8812206055,-191.771884564,-5.2052750775
0.0598,-2150.98316234,-2552.98344538,-79.1446045308,-87.9519902167,2230.12776687,2640.9354356,-38.6911282262,188.556546374,94.2782731869,188.556753603,-2102.74395822,-78.0862538606,2180.83021208,188.556546374,-2552.98344538,-2150.98316234,-38.6911282262,188.556546374,69.1540526071,207.296115187,101.976912081,207.229066433,-102.043960462,188.495559215,-6.03961325396e-14,69.1540526071,-122.032329113,52.8782765063,-190.649629536,-5.3827469363
0.06,-2043.08418382,-2427.05098312,-267.753222632,-313.585389803,2310.83740646,2740.63637293,-36.7825890017,188.556757603,94.2783788014,188.556964832,-1997.00909207,-262.251904744,2259.26099681,188.556757603,-2427.05098312,-2043.08418382,-36.7825890017,188.556757603,77.0135772629,207.296347409,105.027471185,207.22906649,-105.094751812,188.495559215,-6.39488462184e-14,77.0135772629,-121.485690067,44.4721128039,-189.56013789,-5.57724882016
0.0602,-1924.15079896,-2287.32753303,-454.354823902,-537.436934651,2378.50562286,2824.76446769,-34.6650437691,188.556975326,94.2784876629,188.557182555,-1880.57060469,-444.383528256,2324.95413295,188.556975326,-2287.32753303,-1924.15079896,-34.6650437691,188.556975326,84.4848510982,207.29658677,108.340992182,207.229066433,-108.408512154,188.495559215,-6.03961325396e-14,84.4848510982,-120.196305606,35.7114545074,-188.506793152,-5.78775577838
0.0604,-1794.87866599,-2134.60703163,-637.948855882,-758.234655628,2432.82752187,2892.84168726,-32.3505248429,188.557200061,94.2786000304,188.55740729,-1754.11236027,-623.513141964,2377.62550224,188.557200061,-2134.60703163,-1794.87866599,-32.3505248429,188.557200061,91.5137260968,207.29683384,111.899364412,207.229066433,-111.967131446,188.495559215,-6.39488462184e-14,91.5137260968,-118.162388142,26.6486620452,-187.492777643,-6.01314935477
