time_s,phase_a_input_v,phase_b_input_v,phase_c_input_v,phase_a_held_v
0.00453,96.9724326247,-60.9772668054,-35.9951658193,95.14
0.00454,97.0172665297,-60.7357897461,-36.2814767835,95.14
0.00455,97.0611429134,-60.4937132491,-36.5674296643,95.5
0.00456,97.1040613428,-60.2510397035,-36.8530216393,95.5
0.00457,97.1460213943,-60.0077715045,-37.1382498898,95.5
0.00458,97.1870226539,-59.7639110531,-37.4231116008,95.5
0.00459,97.2270647167,-59.5194607559,-37.7076039608,95.5
0.0046,97.2661471877,-59.2744230257,-37.991724162,95.82
0.00461,97.3042696811,-59.0288002809,-38.2754694002,95.82
0.00462,97.3414318206,-58.7825949457,-38.5588368749,95.82
0.00463,97.3776332394,-58.5358094499,-38.8418237895,95.82
0.00464,97.4128735804,-58.2884462294,-39.124427351,95.82
0.00465,97.4471524956,-58.0405077254,-39.4066447702,96.14
0.00466,97.4804696468,-57.7919963851,-39.6884732617,96.14
0.00467,97.512824705,-57.542914661,-39.969910044,96.14
0.00468,97.5442173511,-57.2932650117,-40.2509523394,96.14
0.00469,97.5746472751,-57.0430499009,-40.5315973742,96.14
0.0047,97.6041141768,-56.7922717983,-40.8118423785,96.42
0.00471,97.6326177652,-56.5409331789,-41.0916845863,96.42
0.00472,97.6601577591,-56.2890365233,-41.3711212359,96.42
0.00473,97.6867338867,-56.0365843176,-41.6501495691,96.42
0.00474,97.7123458857,-55.7835790535,-41.9287668322,96.42
0.00475,97.7369935032,-55.5300232279,-42.2069702753,96.66
0.00476,97.7606764961,-55.2759193435,-42.4847571527,96.66
0.00477,97.7833946306,-55.021269908,-42.7621247226,96.66
0.00478,97.8051476825,-54.7660774348,-43.0390702476,96.66
0.00479,97.825935437,-54.5103444426,-43.3155909944,96.66
0.0048,97.845757689,-54.2540734552,-43.5916842338,96.9
0.00481,97.864614243,-53.9972670021,-43.8673472409,96.9
0.00482,97.8825049126,-53.7399276177,-44.1425772949,96.9
0.00483,97.8994295215,-53.4820578419,-44.4173716796,96.9
0.00484,97.9153879026,-53.2236602199,-44.6917276827,96.9
0.00485,97.9303798982,-52.9647373017,-44.9656425965,97.1
0.00486,97.9444053606,-52.705291643,-45.2391137176,97.1
0.00487,97.9574641512,-52.4453258044,-45.5121383468,97.1
0.00488,97.9695561412,-52.1848423515,-45.7847137897,97.1
0.00489,97.9806812113,-51.9238438554,-46.0568373559,97.1
0.0049,97.9908392515,-51.6623328918,-46.3285063597,97.3
0.00491,98.0000301618,-51.4003120419,-46.5997181199,97.3
0.00492,98.0082538513,-51.1377838917,-46.8704699596,97.3
0.00493,98.0155102389,-50.8747510322,-47.1407592068,97.3
0.00494,98.021799253,-50.6112160594,-47.4105831936,97.3
0.00495,98.0271208315,-50.3471815743,-47.6799392572,97.46
0.00496,98.0314749219,-50.0826501829,-47.948824739,97.46
0.00497,98.0348614813,-49.817624496,-48.2172369853,97.46
0.00498,98.0372804761,-49.5521071292,-48.4851733469,97.46
0.00499,98.0387318825,-49.2861007031,-48.7526311794,97.46
0.005,63.7254901961,-31.862745098,-31.862745098,97.6
0.00501,63.7251757236,-31.6892102666,-32.035965457,97.6
0.00502,63.7242323095,-31.5153626755,-32.208869634,97.6
0.00503,63.7226599628,-31.3412040404,-32.3814559224,97.6
0.00504,63.7204586993,-31.1667360804,-32.5537226189,97.6
0.00505,63.7176285405,-30.9919605172,-32.7256680233,97.7
0.00506,63.7141695145,-30.8168790759,-32.8972904386,97.7
0.00507,63.7100816553,-30.6414934844,-33.0685881709,97.7
0.00508,63.7053650033,-30.4658054738,-33.2395595296,97.7
0.00509,63.7000196052,-30.2898167779,-33.4102028272,97.7
0.0051,63.6940455135,-30.1135291338,-33.5805163797,96.74
0.00511,63.6874427873,-29.9369442813,-33.750498506,96.74
0.00512,63.6802114918,-29.7600639633,-33.9201475285,96.74
0.00513,63.6723516983,-29.5828899254,-34.0894617728,96.74
0.00514,63.6638634844,-29.4054239164,-34.258439568,96.74
0.00515,63.6547469339,-29.2276676877,-34.4270792461,87.84
0.00516,63.6450021367,-29.0496229938,-34.5953791429,87.84
0.00517,63.634629189,-28.8712915917,-34.7633375973,87.84
0.00518,63.6236281932,-28.6926752417,-34.9309529515,87.84
0.00519,63.6119992579,-28.5137757066,-35.0982235514,87.84
0.0052,63.5997424979,-28.334594752,-35.2651477459,81.34
0.00521,63.5868580341,-28.1551341464,-35.4317238877,81.34
0.00522,63.5733459936,-27.975395661,-35.5979503326,81.34
0.00523,63.5592065099,-27.7953810697,-35.7638254402,81.34
0.00524,63.5444397225,-27.6150921492,-35.9293475733,81.34
0.00525,63.5290457771,-27.434530679,-36.0945150982,76.58
0.00526,63.5130248257,-27.2536984409,-36.2593263848,76.58
0.00527,63.4963770264,-27.0725972199,-36.4237798064,76.58
0.00528,63.4791025434,-26.8912288033,-36.5878737401,76.58
0.00529,63.4612015474,-26.7095949811,-36.7516065663,76.58
0.0053,63.4426742149,-26.527697546,-36.9149766689,73.08
0.00531,63.4235207288,-26.3455382932,-37.0779824356,73.08
0.00532,63.4037412782,-26.1631190206,-37.2406222576,73.08
0.00533,63.3833360583,-25.9804415286,-37.4028945297,73.08
0.00534,63.3623052704,-25.7975076201,-37.5647976503,73.08
0.00535,63.3406491221,-25.6143191006,-37.7263300215,70.52
0.00536,63.3183678273,-25.4308777782,-37.8874900491,70.52
0.00537,63.2954616056,-25.2471854632,-38.0482761424,70.52
0.00538,63.2719306834,-25.0632439687,-38.2086867147,70.52
0.00539,63.2477752927,-24.8790551101,-38.3687201826,70.52
0.0054,63.222995672,-24.6946207053,-38.5283749667,68.62
0.00541,63.1975920659,-24.5099425745,-38.6876494913,68.62
0.00542,63.171564725,-24.3250225405,-38.8465421845,68.62
0.00543,63.1449139063,-24.1398624284,-39.005051478,68.62
